,ws_p,ws_k,complex_spread_ratio,repetition,run,pearson,euclidean,mape
111,0.1,2,0.05,3,22,-0.36622264017715506,226.59486765263594,0.31458130861684935
112,0.1,2,0.05,3,23,-0.34931163722755637,226.23390747711892,0.3076696995204739
113,0.1,2,0.05,3,24,-0.26868986429313374,215.48849134290285,0.2971879395436077
114,0.1,2,0.05,3,25,-0.2138634499038723,188.96270074336385,0.2615940059693094
115,0.1,2,0.05,3,26,-0.27424488139235065,213.95931421288137,0.29460396573227343
116,0.1,2,0.05,3,27,-0.18408799890177985,214.36166560607202,0.2962116644889506
117,0.1,2,0.05,3,28,-0.30928772566764134,205.492668550925,0.2840331589973211
118,0.1,2,0.05,3,29,-0.4672204157097261,261.89686084214674,0.38521824226900864
119,0.1,2,0.05,4,0,-0.297482885890102,211.53655012863442,0.31652814432700344
120,0.1,2,0.05,4,1,-0.42044958329370985,243.7882001563462,0.34147004122155883
121,0.1,2,0.05,4,2,-0.26270023323865804,208.5039141568193,0.2998609072333607
122,0.1,2,0.05,4,3,-0.3194185582480048,212.827907039231,0.2981075593471645
123,0.1,2,0.05,4,4,-0.3211450371291527,228.53023094378491,0.33964473641729837
124,0.1,2,0.05,4,5,-0.48913408765208155,252.53319008598191,0.35678992751157507
125,0.1,2,0.05,4,6,-0.46958383904218404,246.0160839023039,0.3459161286291265
126,0.1,2,0.05,4,7,-0.45487782101749813,252.73288947236531,0.3506024098411373
127,0.1,2,0.05,4,8,-0.523161866932487,251.8867095487345,0.3605045723656511
128,0.1,2,0.05,4,9,-0.5173088099262491,261.1227705406363,0.3707164987508453
129,0.1,2,0.05,4,10,-0.44076784872731317,252.96445918181664,0.35681565130672155
130,0.1,2,0.05,4,11,-0.5044173750385984,255.62742769344376,0.36180480019440164
131,0.1,2,0.05,4,12,-0.4472907164307042,256.22554891786774,0.3584770924202821
132,0.1,2,0.05,4,13,-0.3570560105196485,227.1636604427375,0.3337085595857758
133,0.1,2,0.05,4,14,-0.47143744600770376,244.32954086581867,0.3444408338652232
134,0.1,2,0.05,4,15,-0.5157733864647983,251.71923005075084,0.3578208706383899
135,0.1,2,0.05,4,16,-0.43990784896788543,238.05292770997832,0.3313717479757788
136,0.1,2,0.05,4,17,-0.47664041799155554,263.08651578358337,0.3757825779769775
137,0.1,2,0.05,4,18,-0.5135114391077876,260.8079995563396,0.3678920908623451
138,0.1,2,0.05,4,19,-0.49628227654382545,246.89244110968062,0.34555401849079154
139,0.1,2,0.05,4,20,-0.5249627745707713,264.53024392826933,0.37870409060317173
140,0.1,2,0.05,4,21,-0.42582196199449357,295.7491265338796,0.4160055501717097
141,0.1,2,0.05,4,22,-0.519301168351281,314.1772184932036,0.4671417030089076
142,0.1,2,0.05,4,23,-0.47124733487313836,248.09604743788245,0.3464812390847533
143,0.1,2,0.05,4,24,-0.5087120764344354,252.6617779171271,0.3561921966093728
144,0.1,2,0.05,4,25,-0.5161247380813455,251.24105747081293,0.3511583659914499
145,0.1,2,0.05,4,26,-0.3665930852609259,222.27163798756465,0.3179085317260612
146,0.1,2,0.05,4,27,-0.47149348868721686,238.02814710345945,0.33752176095015834
147,0.1,2,0.05,4,28,-0.47092062179102,252.2844174328354,0.35528934845363186
148,0.1,2,0.05,4,29,-0.483927748210077,254.23626649904716,0.3562052389481382
149,0.1,2,0.05,5,0,0.12679094885297884,203.14980747478035,0.2802461238644025
150,0.1,2,0.05,5,1,0.1043814903092249,201.4748502473552,0.28128226670846296
151,0.1,2,0.05,5,2,0.0306823957720516,196.53727723153054,0.26637832978676806
152,0.1,2,0.05,5,3,0.12344446462417402,187.3856333236206,0.25794904859991935
153,0.1,2,0.05,5,4,0.05100895488072562,184.75651356209974,0.2574112485674533
154,0.1,2,0.05,5,5,0.056112117249457936,207.54344914551316,0.2834070233246759
155,0.1,2,0.05,5,6,0.055922911268969644,201.89597483905243,0.2757585001628618
156,0.1,2,0.05,5,7,0.05159137844814062,200.17222746757534,0.2723144511260144
157,0.1,2,0.05,5,8,0.04523926538694215,193.63498019240595,0.26519144108609805
158,0.1,2,0.05,5,9,0.03484089236502108,198.52541907338994,0.2704706757071029
159,0.1,2,0.05,5,10,0.06961356405502916,203.7767168454058,0.2808621048716559
160,0.1,2,0.05,5,11,-0.4543553047288382,307.19451009492786,0.4410944631731835
161,0.1,2,0.05,5,12,0.06361989100791887,189.94926051843254,0.26065769113451503
162,0.1,2,0.05,5,13,0.08389927074048002,201.90360145025974,0.27761700670855605
163,0.1,2,0.05,5,14,0.048798886526925545,188.5109667143357,0.2601500963660572
164,0.1,2,0.05,5,15,-0.21987187320631874,174.39955565174924,0.2394081818241581
165,0.1,2,0.05,5,16,0.07084513761876055,190.5109677009622,0.2636418726229441
166,0.1,2,0.05,5,17,0.060274101257195456,200.7189529083337,0.27127704018884596
167,0.1,2,0.05,5,18,-0.1601612482583625,189.2356107466816,0.28083148080748016
168,0.1,2,0.05,5,19,0.04978463466712524,207.32295913406878,0.28420706161196113
169,0.1,2,0.05,5,20,0.08097669567187045,205.74218744758255,0.28187406073955784
170,0.1,2,0.05,5,21,-0.002942347557498781,193.49769274863255,0.2608110754826052
171,0.1,2,0.05,5,22,0.11162937566927233,193.6124287227334,0.2668128266427883
172,0.1,2,0.05,5,23,0.053994465965937266,202.994900433627,0.2777475997255776
173,0.1,2,0.05,5,24,0.05082126727034553,194.37401418032354,0.2655539679506376
174,0.1,2,0.05,5,25,-0.10169789029797012,341.3743275026207,0.5101786913675597
175,0.1,2,0.05,5,26,0.047754758874680836,196.0477332799742,0.26720768098611486
176,0.1,2,0.05,5,27,-0.40701968442310354,262.3659053170572,0.3710961291558856
177,0.1,2,0.05,5,28,0.024663328251085376,202.07234147968538,0.2787765308858144
178,0.1,2,0.05,5,29,0.05615450934180718,207.59430574767316,0.28342070463366814
179,0.1,2,0.05,6,0,0.10987339437045075,177.38036627073518,0.2687441703314774
180,0.1,2,0.05,6,1,-0.27276022565885155,192.2663796685149,0.26304072415591917
181,0.1,2,0.05,6,2,-0.308546713248379,190.02956309115507,0.25533327209541506
182,0.1,2,0.05,6,3,-0.23881221203103484,178.93209276760797,0.24193610599506213
183,0.1,2,0.05,6,4,-0.22874769316690344,185.714639924131,0.2574367630683638
184,0.1,2,0.05,6,5,-0.3221012081332249,194.21053903426778,0.26490734383816306
185,0.1,2,0.05,6,6,-0.29047648615955546,186.93987083936477,0.25661985950315513
186,0.1,2,0.05,6,7,-0.29084581273864885,185.35084779144495,0.2547972426955791
187,0.1,2,0.05,6,8,-0.30115954793719735,179.3908700160066,0.2457912155320824
188,0.1,2,0.05,6,9,-0.2365230558905276,174.14362063835532,0.23571150633511662
189,0.1,2,0.05,6,10,-0.2782788271414694,192.26660177963387,0.26315630184453803
190,0.1,2,0.05,6,11,-0.2745341154889625,187.32573881715211,0.25711352312957864
191,0.1,2,0.05,6,12,-0.30566426967842486,183.05325036560532,0.2613800982809659
192,0.1,2,0.05,6,13,-0.25696732826346613,186.95587719858406,0.2549508887461227
193,0.1,2,0.05,6,14,-0.15228019776340465,180.1826706772125,0.2481277255671003
194,0.1,2,0.05,6,15,-0.2037322258776855,178.57652400707124,0.2440237438838544
195,0.1,2,0.05,6,16,-0.22691840292903329,179.47475816278362,0.24817908136004432
196,0.1,2,0.05,6,17,-0.31551463668269536,185.61576237825545,0.2556329948306119
197,0.1,2,0.05,6,18,-0.1199773851266752,255.04574979189616,0.36700968799032774
198,0.1,2,0.05,6,19,-0.28257382712448126,176.0319388271107,0.23850558377514927
199,0.1,2,0.05,6,20,-0.31741116059717367,188.49190347574014,0.25691201828723736
200,0.1,2,0.05,6,21,-0.2656279878002046,195.3631566673981,0.2685349262834105
201,0.1,2,0.05,6,22,-0.3072918251896249,184.66570559261538,0.253802575440678
202,0.1,2,0.05,6,23,-0.2455713723110503,174.50939969643068,0.24108854168378727
203,0.1,2,0.05,6,24,-0.2741723305468235,196.7713011352013,0.26935475544922793
204,0.1,2,0.05,6,25,-0.15800692034536615,170.83503849670728,0.23494696885382074
205,0.1,2,0.05,6,26,-0.4071740946043089,291.31090507672684,0.4007681781034438
206,0.1,2,0.05,6,27,-0.25851546559801597,183.99862445589994,0.24757644581603544
207,0.1,2,0.05,6,28,-0.43578183466137616,229.718482539066,0.3352616603465415
208,0.1,2,0.05,6,29,-0.7091478896760154,389.02301058332586,0.5539524198344693
209,0.1,2,0.05,7,0,-0.5312073663217269,273.1746768596043,0.3796477220915598
210,0.1,2,0.05,7,1,-0.4974018009015122,297.98579878124343,0.4284253705137792
211,0.1,2,0.05,7,2,-0.42725695896375493,267.1877945836715,0.3650923562559208
212,0.1,2,0.05,7,3,-0.4078192396680352,250.8870042328697,0.3422919027058306
213,0.1,2,0.05,7,4,-0.48229981451911397,265.92549502970576,0.3689289029585456
214,0.1,2,0.05,7,5,-0.2795114278786755,235.7966399089229,0.31894328307629966
215,0.1,2,0.05,7,6,-0.15833399728105899,228.80969957711272,0.32781308945551907
216,0.1,2,0.05,7,7,-0.40470077338200067,268.34828466243215,0.36737691429379726
217,0.1,2,0.05,7,8,-0.41460642042137347,274.0067911265589,0.37930185186454235
218,0.1,2,0.05,7,9,-0.48077046181314903,255.418573269642,0.34678752474040103
219,0.1,2,0.05,7,10,-0.3598982882394591,232.4432764773329,0.3136027830625759
220,0.1,2,0.05,7,11,-0.4388333854041026,242.013413174902,0.3333858599012969
221,0.1,2,0.05,7,12,-0.5194605811786841,247.40978696331817,0.34367293699840684
222,0.1,2,0.05,7,13,-0.3669961613210046,246.8760643788349,0.32790246744018287
223,0.1,2,0.05,7,14,0.09499869507729797,236.39908581881278,0.3601886857461989
224,0.1,2,0.05,7,15,-0.4077948767689303,249.69862105272304,0.3361347290466085
225,0.1,2,0.05,7,16,-0.28692068206831783,235.7741486439672,0.3180857069128941
226,0.1,2,0.05,7,17,-0.2882827396158411,243.76276483858547,0.3301633727188645
227,0.1,2,0.05,7,18,-0.35634518468465953,236.5499152778275,0.31714833943339943
228,0.1,2,0.05,7,19,-0.2857036637106671,249.46419827063224,0.3323612611189086
229,0.1,2,0.05,7,20,-0.46693372984655107,255.07328144364297,0.3524764008225332
230,0.1,2,0.05,7,21,-0.2524399417785974,220.75449939402552,0.3227969831266481
231,0.1,2,0.05,7,22,-0.3857950577754699,234.47367913466152,0.31379203344467277
232,0.1,2,0.05,7,23,-0.42925345646875385,196.74810925979054,0.2824884844317374
233,0.1,2,0.05,7,24,-0.2842540358388611,239.9285996331187,0.32257404819293317
234,0.1,2,0.05,7,25,-0.30320059873312594,217.73363377066616,0.29842154004583304
235,0.1,2,0.05,7,26,-0.585697637385031,303.91298756119835,0.4396968864416158
236,0.1,2,0.05,7,27,-0.41195235979385475,264.10676267495705,0.357664679232335
237,0.1,2,0.05,7,28,-0.37731989314308456,259.85877251469833,0.3586422365289426
238,0.1,2,0.05,7,29,-0.3346618145135314,246.68869496388368,0.33537974712296853
239,0.1,2,0.05,8,0,-0.3425860889918286,203.28057110743842,0.2883980422511198
240,0.1,2,0.05,8,1,-0.35073481030328013,209.66246719845614,0.2966212350743011
241,0.1,2,0.05,8,2,-0.08844423779591715,197.3927410360303,0.2599632530204343
242,0.1,2,0.05,8,3,-0.613937327376425,309.75586149754594,0.4455583313303541
243,0.1,2,0.05,8,4,-0.28900192862653923,197.56866894309465,0.28082084417466074
244,0.1,2,0.05,8,5,-0.29608094648553823,191.55580097306657,0.26815729247933423
245,0.1,2,0.05,8,6,-0.39185571402305164,216.65094579852487,0.30636296876354807
246,0.1,2,0.05,8,7,-0.25190573419695766,184.37987350130985,0.25826331223721627
247,0.1,2,0.05,8,8,-0.3919499004982347,201.19925930643402,0.2799619252267302
248,0.1,2,0.05,8,9,-0.2755389614793176,190.85447429164083,0.2730777553173619
249,0.1,2,0.05,8,10,-0.35035200396481975,233.0858930662536,0.3301497113059931
250,0.1,2,0.05,8,11,-0.2865860149670532,202.57193016354537,0.28507184821351256
251,0.1,2,0.05,8,12,-0.3029838428950018,200.59495275067957,0.2828649943216
252,0.1,2,0.05,8,13,-0.3774784706608521,214.91022542725338,0.30184201698223445
253,0.1,2,0.05,8,14,-0.343179106525003,213.6058684918786,0.29940165033583327
254,0.1,2,0.05,8,15,-0.3681358527690095,217.7238618557203,0.30484987980306166
255,0.1,2,0.05,8,16,-0.306215090377331,209.44921469331067,0.296556660019291
256,0.1,2,0.05,8,17,-0.162411267005501,249.45156421116016,0.3657466979749449
257,0.1,2,0.05,8,18,-0.2542550630459874,201.79239548400722,0.2893667795999319
258,0.1,2,0.05,8,19,-0.29891332613768573,195.25653739504514,0.27821478213088513
259,0.1,2,0.05,8,20,-0.33511750870039286,211.23099670201336,0.30012052948722995
260,0.1,2,0.05,8,21,-0.05804524831697825,170.12646147158904,0.24717027153305582
261,0.1,2,0.05,8,22,-0.25124735680195814,216.63356310986865,0.3049775115302808
262,0.1,2,0.05,8,23,-0.24802908850541983,244.86073782666065,0.3459840437844
263,0.1,2,0.05,8,24,-0.2718270627230095,303.52285291603545,0.40884013462934593
264,0.1,2,0.05,8,25,-0.20505423343387466,192.34534795507375,0.27228636838403475
265,0.1,2,0.05,8,26,-0.33659420565008547,201.66391753357695,0.28872959196292075
266,0.1,2,0.05,8,27,-0.34852766902285254,212.86609775071292,0.29460001727375545
267,0.1,2,0.05,8,28,-0.31078217230001376,200.57111792092334,0.28324456953626115
268,0.1,2,0.05,8,29,-0.2198708475806577,173.73809413570726,0.25123829784491414
269,0.1,2,0.05,9,0,0.2510011508000953,197.5187872891288,0.30516661882287216
270,0.1,2,0.05,9,1,0.24846635561814612,197.19054888778862,0.30390532942370685
271,0.1,2,0.05,9,2,-0.17475390377640676,201.140163961335,0.2863793480232227
272,0.1,2,0.05,9,3,-0.2771787670273906,254.33173991946327,0.3514405675645142
273,0.1,2,0.05,9,4,-0.21753417001566464,270.3518179977513,0.3703497105599742
274,0.1,2,0.05,9,5,0.08979603338592779,204.42739050464903,0.3011934697349546
275,0.1,2,0.05,9,6,-0.1511155160314972,271.44277701076874,0.40182084028921344
276,0.1,2,0.05,9,7,-0.06301504936482039,185.5287713686404,0.26980497985658697
277,0.1,2,0.05,9,8,-0.384341058402875,238.57684133009798,0.3506115739537013
278,0.1,2,0.1,0,0,-0.38472596518421937,236.25251762187008,0.348732430844632
279,0.1,2,0.1,0,1,0.30234573840047113,185.36827588087058,0.2810727568670766
280,0.1,2,0.1,0,2,0.18643452223861953,192.6484163349106,0.29622181521337504
281,0.1,2,0.1,0,3,-0.4622975216587492,280.82464253147145,0.38832577516261085
282,0.1,2,0.1,0,4,0.21602667255334954,195.75460425372114,0.2984520498191451
283,0.1,2,0.1,0,5,-0.1458499274014444,216.9770611355334,0.32383605490604844
284,0.1,2,0.1,0,6,0.2294035873659819,183.75246845127774,0.28153730565487517
285,0.1,2,0.1,0,7,0.15609896227383793,167.82814775268253,0.23842127020388074
286,0.1,2,0.1,0,8,0.16043445105432005,191.1178830139778,0.2953291164243368
287,0.1,2,0.1,0,9,0.1900545635569425,204.87868190008953,0.3088527457351245
288,0.1,2,0.1,0,10,0.23345354659454687,165.01835223570777,0.2616896730549746
289,0.1,2,0.1,0,11,-0.2240654849640192,217.30385242218458,0.29437143310489083
290,0.1,2,0.1,0,12,0.12385054666652963,197.65100300973995,0.29903851662467557
291,0.1,2,0.1,0,13,0.19249658101020042,184.213866825809,0.2807165613129509
292,0.1,2,0.1,0,14,0.16914697811179466,192.33111318597935,0.2967816589755646
293,0.1,2,0.1,0,15,0.19676603083353125,181.08717066401815,0.276604971681441
294,0.1,2,0.1,0,16,0.33530277361913896,168.20637753868115,0.24303931815546545
295,0.1,2,0.1,0,17,0.12457305537498313,192.782672717026,0.2949051283018552
296,0.1,2,0.1,0,18,0.15996376208860932,192.22943285877648,0.2881611279836531
297,0.1,2,0.1,0,19,-0.2258656000772349,201.5013246074,0.2866525376408841
298,0.1,2,0.1,0,20,-0.6991126731487887,366.8567665423321,0.5137081769448738
299,0.1,2,0.1,0,21,0.12720092708078745,187.14331274347023,0.2884895476500748
300,0.1,2,0.1,0,22,0.23025528471319978,190.18087570897623,0.28593172882208334
301,0.1,2,0.1,0,23,0.16868201823286397,187.2087777330614,0.2878058841608678
302,0.1,2,0.1,0,24,-0.4750234997044213,267.0638567579924,0.38825633486476335
303,0.1,2,0.1,0,25,-0.028570772780119696,270.0061954767884,0.40641286378322833
304,0.1,2,0.1,0,26,0.14805711341081176,199.68092340180814,0.3021732757311148
305,0.1,2,0.1,0,27,-0.036391936831060324,237.57677251074406,0.34931223910911696
306,0.1,2,0.1,0,28,-0.2535983966058329,210.78244566979185,0.2794068334878645
307,0.1,2,0.1,0,29,-0.11600271019948509,236.22491645643012,0.33413883906701924
308,0.1,2,0.1,1,0,-0.26572910151241214,207.0417116396031,0.2916317424435803
309,0.1,2,0.1,1,1,-0.27242107019274303,219.95177798812074,0.3141716296274785
310,0.1,2,0.1,1,2,-0.303477678185289,194.16484795408505,0.2772103362139161
311,0.1,2,0.1,1,3,-0.30479311345523746,215.75533310581508,0.29653991986708933
312,0.1,2,0.1,1,4,-0.3080485081619214,223.60886489660905,0.3177892686041388
313,0.1,2,0.1,1,5,-0.2940188180436651,201.2141325838207,0.28998110743324207
314,0.1,2,0.1,1,6,-0.3721033834967833,214.02028149698813,0.3131237626301882
315,0.1,2,0.1,1,7,-0.2917309293643182,193.99189407869616,0.2734556283538192
316,0.1,2,0.1,1,8,-0.2642700554754169,195.44470054021508,0.270083611238869
317,0.1,2,0.1,1,9,-0.251347645233168,204.43496900009063,0.2839186582506288
318,0.1,2,0.1,1,10,-0.30115164111165366,204.28281447393655,0.28276499228086266
319,0.1,2,0.1,1,11,-0.42137507474879254,219.0565740944024,0.32305641815282654
320,0.1,2,0.1,1,12,-0.5533938263590054,250.25107279665758,0.3550534332118902
321,0.1,2,0.1,1,13,-0.2747027802648424,213.18972903252953,0.28715532899382895
322,0.1,2,0.1,1,14,-0.2701305057784614,203.13673428603633,0.28521472308120965
323,0.1,2,0.1,1,15,-0.31540705546744546,216.02837327383156,0.31269891410305345
324,0.1,2,0.1,1,16,-0.28578903618314166,215.84322567842048,0.29818848696447925
325,0.1,2,0.1,1,17,-0.2504727271097093,195.43910887546812,0.26958393894500815
