,ba_m,simple_spread_chance,repetition,measure,pen_name,data,pearson,euclidean,mape
20,3,0.01,6,opinion-timeseries,rep,"[54.       55.033333 55.433334 53.533333 53.5      52.4      51.8
 51.433334 52.       52.533333 51.133335 51.133335 51.133335 50.766666
 50.766666 50.2      50.166668 49.2      49.166668 49.166668 48.766666
 49.3      49.833332 49.8      48.666668 46.866665 45.2      45.833332
 45.766666 46.333332 46.766666 46.366665 45.7      46.433334 46.433334
 46.433334 47.066666 46.4      45.666668 44.766666 43.8      44.366665
 43.8      44.366665 44.333332 43.933334 43.7      43.266666 42.5
 42.5      43.1      44.1      43.466667 43.1      42.7      42.266666
 41.6      41.6      41.133335 40.566666 40.633335 40.633335 39.966667
 39.966667]",-0.9044295177489149,156.37149237027677,0.27094228092479233
21,3,0.01,7,opinion-timeseries,dem,"[60.       60.       60.       58.266666 57.9      57.9      57.9
 58.366665 58.366665 58.       56.8      55.933334 55.2      55.2
 53.866665 53.866665 53.266666 53.266666 52.566666 52.       51.066666
 51.066666 50.266666 49.266666 48.633335 47.6      46.166668 46.166668
 45.833332 45.833332 45.833332 45.833332 45.833332 45.833332 45.366665
 45.966667 45.966667 46.6      46.6      46.6      46.6      46.3
 45.066666 44.6      44.6      45.4      46.4      47.833332 48.933334
 48.333332 48.366665 47.266666 46.366665 45.333332 46.066666 46.066666
 46.066666 45.7      45.7      45.7      45.8      46.       46.
 45.466667]",-0.9080846682053997,330.2944826854628,0.4311901069824404
22,3,0.01,7,opinion-timeseries,mod,"[45.       45.6      46.266666 44.8      44.433334 44.433334 44.433334
 44.433334 44.933334 44.9      44.433334 44.4      44.333332 44.333332
 43.033333 42.7      42.066666 42.066666 41.533333 41.2      40.033333
 40.666668 40.933334 40.3      39.366665 38.166668 37.4      37.933334
 37.933334 38.366665 38.8      39.466667 39.966667 40.466667 39.8
 40.633335 41.3      41.4      41.033333 40.6      40.1      40.433334
 40.133335 40.733334 40.933334 41.966667 42.8      43.733334 43.833332
 43.5      44.1      44.       42.9      42.433334 42.033333 41.466667
 41.466667 41.033333 40.6      40.6      40.733334 41.066666 40.166668
 39.733334]",-0.6132385400646414,271.17823643841103,0.4248734436735811
23,3,0.01,7,opinion-timeseries,rep,"[45.       45.966667 46.533333 44.9      44.9      43.8      43.533333
 43.       43.666668 44.233334 43.433334 43.4      43.4      42.9
 42.9      42.5      42.466667 41.8      41.8      41.8      41.5
 42.333332 42.966667 42.966667 41.833332 40.633335 39.1      39.8
 39.766666 40.4      41.2      41.333332 41.233334 41.866665 41.866665
 41.9      42.5      42.033333 41.033333 40.166668 39.566666 40.166668
 39.8      40.533333 40.7      40.166668 39.733334 39.1      38.1
 38.1      38.6      39.766666 39.533333 39.233334 38.866665 38.533333
 38.1      38.1      37.6      37.166668 37.233334 37.233334 36.333332
 36.333332]",-0.8465073702501454,191.05093449008044,0.34039272970209555
24,3,0.01,8,opinion-timeseries,dem,"[64.       64.       64.       61.9      61.166668 61.166668 61.166668
 61.433334 61.433334 60.933334 59.466667 58.966667 58.3      58.3
 57.1      57.1      56.433334 56.433334 55.9      55.166668 54.1
 54.1      53.6      52.566666 51.566666 50.766666 49.933334 49.933334
 49.266666 49.266666 49.266666 49.266666 49.266666 49.266666 48.666668
 49.233334 49.233334 49.666668 49.666668 49.666668 49.666668 49.333332
 47.833332 47.466667 47.466667 48.633335 49.9      51.2      52.1
 51.4      51.466667 50.266666 49.333332 48.466667 49.133335 49.133335
 49.133335 48.8      48.8      48.8      48.7      48.633335 48.633335
 48.166668]",-0.9227394246724302,306.4769460782214,0.3948195001243183
25,3,0.01,8,opinion-timeseries,mod,"[53.       53.533333 53.866665 52.1      51.5      51.5      51.5
 51.5      51.933334 51.9      51.5      51.5      51.5      51.5
 50.1      49.5      48.933334 48.933334 48.4      47.766666 46.466667
 47.       47.2      46.4      45.866665 45.       44.       44.633335
 44.633335 45.366665 46.       46.533333 47.133335 47.566666 46.966667
 47.7      48.533333 48.7      48.266666 47.766666 47.3      47.
 46.666668 47.533333 47.6      47.9      48.3      49.266666 48.933334
 48.466667 48.933334 48.933334 48.166668 47.333332 46.7      46.233334
 46.233334 45.666668 45.1      45.1      45.2      45.4      44.833332
 44.233334]",-0.7643266225531639,224.79895108046517,0.3410802953703038
26,3,0.01,8,opinion-timeseries,rep,"[49.       49.6      50.133335 48.466667 48.433334 47.2      46.6
 46.1      46.766666 47.333332 46.633335 46.633335 46.633335 46.266666
 46.233334 45.933334 45.933334 45.       44.966667 44.933334 44.3
 44.666668 45.366665 45.366665 43.7      42.533333 41.166668 41.766666
 41.766666 42.333332 42.966667 43.2      42.866665 43.3      43.3
 43.3      43.866665 43.4      42.366665 41.533333 40.833332 41.2
 40.9      41.533333 41.9      41.4      40.633335 40.433334 39.566666
 39.566666 40.233334 41.433334 40.933334 40.6      40.233334 40.033333
 39.8      39.8      39.366665 39.066666 39.066666 39.066666 38.4
 38.4     ]",-0.9000687630834809,177.38669088848562,0.31199769250090903
27,3,0.01,9,opinion-timeseries,dem,"[70.       70.       70.       67.6      66.933334 66.933334 66.933334
 67.23333  67.23333  66.333336 65.13333  64.46667  63.6      63.6
 62.5      62.5      61.9      61.9      61.133335 60.6      59.4
 59.4      58.7      57.166668 55.8      54.633335 53.633335 53.633335
 53.2      53.2      53.2      53.2      53.2      53.2      52.733334
 53.166668 53.166668 53.6      53.6      53.6      53.6      53.8
 52.533333 51.866665 51.866665 53.133335 54.033333 55.133335 55.933334
 55.233334 55.1      54.3      53.333332 52.5      53.133335 53.133335
 53.133335 52.533333 52.533333 52.533333 52.266666 52.3      52.3
 51.833332]",-0.9221528577097402,274.7151896791645,0.34567912888659547
28,3,0.01,9,opinion-timeseries,mod,"[36.       36.533333 37.2      36.3      35.933334 35.933334 35.933334
 35.933334 36.8      37.166668 36.733334 36.733334 36.733334 36.7
 35.833332 35.4      35.033333 35.033333 34.733334 34.4      33.466667
 34.1      34.733334 33.9      33.2      32.533333 31.966667 32.366665
 32.366665 32.9      33.666668 34.233334 35.1      35.966667 35.433334
 36.166668 37.033333 37.3      36.866665 36.5      36.133335 36.2
 35.8      36.7      36.8      37.533333 38.433334 39.1      39.3
 38.866665 39.566666 39.933334 38.8      38.333332 38.066666 37.866665
 37.866665 37.566666 37.133335 37.1      37.4      37.366665 36.6
 36.266666]",0.0620046628167931,311.7360666544415,0.5043969727911959
29,3,0.01,9,opinion-timeseries,rep,"[55.       56.066666 56.433334 54.366665 54.333332 53.4      52.633335
 52.1      52.766666 53.266666 52.033333 52.       52.       51.5
 51.466667 50.9      50.9      49.8      49.766666 49.766666 49.3
 49.833332 50.5      50.5      49.2      47.933334 46.4      46.7
 46.7      47.266666 47.733334 47.166668 46.733334 47.066666 47.066666
 47.066666 47.7      47.433334 46.633335 45.466667 44.4      45.
 44.466667 44.733334 44.733334 44.066666 43.8      42.833332 42.
 42.       42.633335 43.833332 43.4      42.933334 42.6      42.266666
 41.866665 41.866665 41.5      41.2      41.266666 41.266666 40.2
 40.2     ]",-0.9008314512741339,153.6808200177133,0.2655326611880626
