,ba_m,simple_spread_chance,repetition,run,pearson,euclidean,mape
26,3,0.01,0,26,-0.7440881434212075,221.37816391633189,0.33285072009028555
27,3,0.01,0,27,-0.42602121782185937,241.4900288126777,0.36289720000964626
28,3,0.01,0,28,-0.5659963544392107,218.9827337498341,0.32120914464864375
29,3,0.01,0,29,-0.6756151291614682,251.8017024824325,0.36628918929037235
30,3,0.01,1,0,-0.856876105991723,236.82458391481737,0.34751668937326813
31,3,0.01,1,1,-0.8478438125492659,247.57568324096633,0.362532706493937
32,3,0.01,1,2,-0.8658959597850228,246.6986235133339,0.36359810789987274
33,3,0.01,1,3,-0.8257578269704039,271.8444353686221,0.3931815152757078
34,3,0.01,1,4,-0.8628577271829664,244.3590589655746,0.3615896865195798
35,3,0.01,1,5,-0.7398985042989529,224.37439984944015,0.3255098887019251
36,3,0.01,1,6,-0.7835048126949258,229.76171097421613,0.3357246928235886
37,3,0.01,1,7,-0.6583980296289925,218.99709873829056,0.318368147892428
38,3,0.01,1,8,-0.7551652436594122,234.35268632335763,0.34906830222594826
39,3,0.01,1,9,-0.8706596672697192,263.6623653931739,0.3864352128073249
40,3,0.01,1,10,-0.8037821886221185,228.27701133058963,0.334050072385887
41,3,0.01,1,11,-0.752822243590944,235.33225476951364,0.3437613201743516
42,3,0.01,1,12,-0.8471207202663616,252.39740094635758,0.3670705122431282
43,3,0.01,1,13,-0.6998179828336801,229.06048901477484,0.3347585525571932
44,3,0.01,1,14,-0.656379197288076,209.08957334709802,0.3050628110393896
45,3,0.01,1,15,-0.7824213494135592,228.05692296375483,0.32901290999195193
46,3,0.01,1,16,-0.6940792606505223,228.27308207727606,0.3335865539807196
47,3,0.01,1,17,-0.7749382670531931,230.1141045304828,0.3344561139486885
48,3,0.01,1,18,-0.708508974019996,217.43952435410972,0.32171111912616596
49,3,0.01,1,19,-0.7710301471967322,242.51753733877274,0.36230837383302567
50,3,0.01,1,20,-0.8833714972614021,264.2163863462112,0.38981960960124334
51,3,0.01,1,21,-0.745745447573126,236.1783665388598,0.34260038357796213
52,3,0.01,1,22,-0.7113055688001259,229.2421008918227,0.3310632469365979
53,3,0.01,1,23,-0.7018371042037558,225.749165668794,0.32425518327210995
54,3,0.01,1,24,-0.8150289899515436,218.81815024419726,0.3198791364195828
55,3,0.01,1,25,-0.6809520836709403,233.75190689906503,0.34114543003408976
56,3,0.01,1,26,-0.8533810684738571,278.7181941033998,0.40669110690213267
57,3,0.01,1,27,-0.874499575491019,250.8040228336885,0.36816775069371444
58,3,0.01,1,28,-0.844176838591709,227.34747245027862,0.3301484654153031
59,3,0.01,1,29,-0.833952458435714,227.5643401534077,0.3332495722840678
60,3,0.01,2,0,-0.37732274497680657,248.7481474800583,0.3781185835605101
61,3,0.01,2,1,-0.5747537379355454,270.64558451458487,0.4145724172400242
62,3,0.01,2,2,-0.46266641668363473,239.78703161570436,0.3701574785868454
63,3,0.01,2,3,-0.5312894725783827,255.02875504306277,0.38965252162287917
64,3,0.01,2,4,-0.38788747616678104,249.9882671448057,0.3789944482408883
65,3,0.01,2,5,-0.5447095826853582,271.10549109384255,0.4162591899020238
66,3,0.01,2,6,-0.7111569519355756,258.8091497462872,0.38987171663237613
67,3,0.01,2,7,-0.5457264136212001,255.8226323298135,0.39428341641076203
68,3,0.01,2,8,-0.5070157655010629,257.5179750799263,0.3946639397269594
69,3,0.01,2,9,-0.34179547756924594,241.1756268642661,0.36767644504274233
70,3,0.01,2,10,-0.3812587232582305,233.05302898019409,0.353900367646734
71,3,0.01,2,11,-0.40631884560052134,270.2462849270151,0.41760901356495433
72,3,0.01,2,12,-0.7723513611638967,278.4621025124326,0.4273436919166689
73,3,0.01,2,13,-0.7175717581952062,264.9563170248513,0.40093433642596765
74,3,0.01,2,14,-0.4631667957734072,251.57019881832625,0.3875631449168259
75,3,0.01,2,15,-0.6944566939031415,252.67905990838793,0.3737818173007188
76,3,0.01,2,16,-0.5213587988166706,270.5426012294179,0.4023102966481063
77,3,0.01,2,17,-0.6629259991165265,264.97761521341954,0.39862370775900025
78,3,0.01,2,18,-0.7000076717536375,260.88155547677474,0.3962563108583021
79,3,0.01,2,19,-0.5225839631266403,258.205066476523,0.38319398194661175
80,3,0.01,2,20,-0.6857573020586561,271.8062933958524,0.41712998956678476
81,3,0.01,2,21,-0.6586655890855049,273.7204608420305,0.41654140435281967
82,3,0.01,2,22,-0.7517540598285598,280.4331613815164,0.4255376427802288
83,3,0.01,2,23,-0.36393496639621237,225.94385159309084,0.33760663813131736
84,3,0.01,2,24,-0.5588925330242468,253.47250931605208,0.3850652714651019
85,3,0.01,2,25,-0.7908807589598684,265.0330561562853,0.3996494196300719
86,3,0.01,2,26,-0.6752988926336984,266.90115151015425,0.4076903259168236
87,3,0.01,2,27,-0.602605747708055,253.20639633529285,0.3845392013704214
88,3,0.01,2,28,-0.468753327766045,255.80688686714583,0.3852042696211653
89,3,0.01,2,29,-0.6065636171955578,247.22983954131846,0.3769278608753705
90,3,0.01,3,0,-0.5580649937072888,265.2305122863453,0.4040499041950005
91,3,0.01,3,1,-0.6963258653574741,285.0561094485252,0.4390849642198049
92,3,0.01,3,2,-0.6947234585494209,273.92861339885377,0.4109483901832411
93,3,0.01,3,3,-0.7033833156145919,280.21014421846604,0.42845133317772444
94,3,0.01,3,4,-0.6473980289888546,272.87427729347206,0.4116262503789043
95,3,0.01,3,5,-0.5512180167341775,287.7243690200856,0.4385904215174601
96,3,0.01,3,6,-0.7721521961850594,269.8349775183521,0.4121934526383158
97,3,0.01,3,7,-0.5618157762476631,264.75381130741886,0.3992217375246903
98,3,0.01,3,8,-0.5597777353933876,257.2383202838445,0.3912182490324718
99,3,0.01,3,9,-0.3334390161007588,259.7583447814989,0.3995072581927504
100,3,0.01,3,10,-0.5885718451925844,272.6349247573856,0.41765975486094603
101,3,0.01,3,11,-0.5280902113430699,264.7817047193833,0.4062836432490126
102,3,0.01,3,12,-0.5702579486729903,270.86722260560924,0.41570284090300386
103,3,0.01,3,13,-0.7620620083336794,276.76124702315786,0.41815861430867934
104,3,0.01,3,14,-0.6386869298846465,285.3572064572723,0.440514240716094
105,3,0.01,3,15,-0.6512596929385682,270.9096097012601,0.41604280697269264
106,3,0.01,3,16,-0.4464005665636595,276.911346638604,0.43024919233954484
107,3,0.01,3,17,-0.6234078345797207,285.6713523803146,0.4347805693771661
108,3,0.01,3,18,-0.6781087884499785,271.41583253696183,0.41522458338188767
109,3,0.01,3,19,-0.6844076526840922,278.4359325943987,0.42606645305175866
110,3,0.01,3,20,-0.6161313825763575,257.7625254844997,0.3909192874856404
111,3,0.01,3,21,-0.3372444972092137,253.11040764511438,0.3883187378573571
112,3,0.01,3,22,-0.42962935436061606,250.78483892984397,0.3861981270340325
113,3,0.01,3,23,-0.44474490424892893,250.73126002849565,0.38788254117901105
114,3,0.01,3,24,-0.7978221937294933,282.2633230228408,0.4289187369892276
115,3,0.01,3,25,-0.5662345090630315,286.06239189973707,0.44284113887312765
116,3,0.01,3,26,-0.6663594209225084,282.4462734649819,0.4348901344291655
117,3,0.01,3,27,-0.7394044933158052,281.95718407355247,0.42887955639219166
118,3,0.01,3,28,-0.7558922386487836,272.65151129024656,0.4118769138151857
119,3,0.01,3,29,-0.7252589791532551,287.87578670876786,0.4307476680068409
120,3,0.01,4,0,-0.6335944309950731,255.53062133916112,0.3946931371324829
121,3,0.01,4,1,-0.7934094459373783,250.53353818985047,0.36612513608654274
122,3,0.01,4,2,-0.7093379171392865,225.7006226435891,0.32934641821289073
123,3,0.01,4,3,-0.7889125959414672,248.156031924732,0.35728755207568036
124,3,0.01,4,4,-0.8195758182721282,236.57898625197595,0.35173633885461913
125,3,0.01,4,5,-0.6733983829770264,219.3417420682941,0.32204234636431434
126,3,0.01,4,6,-0.7865771991678966,238.2920782031205,0.354639462054194
127,3,0.01,4,7,-0.7058192861485245,245.94337722419436,0.36441771067007883
128,3,0.01,4,8,-0.830584506873833,274.3756734948142,0.4153999795550309
129,3,0.01,4,9,-0.7255312950438171,233.5454540882669,0.3395300476689099
130,3,0.01,4,10,-0.8437326686799244,256.40114902090494,0.375807020062688
131,3,0.01,4,11,-0.8171027232650704,265.98739088829467,0.39333932407860045
132,3,0.01,4,12,-0.514062063560706,229.50438820802802,0.3377560205827507
133,3,0.01,4,13,-0.8486037327264683,232.9324863643168,0.34041982982210656
134,3,0.01,4,14,-0.861891506465788,244.3954912419904,0.35937930523807
135,3,0.01,4,15,-0.7782959620431021,211.48820273367616,0.309241462659921
136,3,0.01,4,16,-0.7724008046394077,246.65018833104315,0.35722948546116656
137,3,0.01,4,17,-0.836828495836027,246.26684868243024,0.36209670407316596
138,3,0.01,4,18,-0.6437816761249545,265.0384783400812,0.401371493903542
139,3,0.01,4,19,-0.7900919573884595,239.60208821516275,0.3507895579510314
140,3,0.01,4,20,-0.6924747581005674,231.59290882852633,0.3348405323420655
141,3,0.01,4,21,-0.8248774285753493,246.38296978944027,0.3564716220405722
142,3,0.01,4,22,-0.619165147671794,230.31284538922293,0.342137364365956
143,3,0.01,4,23,-0.7842164572285708,235.01766192208706,0.34355324459252917
144,3,0.01,4,24,-0.7604477251923085,238.13134887599992,0.3484300242559691
145,3,0.01,4,25,-0.6446634570296884,227.85546734635363,0.33535097678966297
146,3,0.01,4,26,-0.779262783414128,245.26000630998786,0.36743005646706167
147,3,0.01,4,27,-0.5071273530927193,229.92611216030298,0.34367277976806054
148,3,0.01,4,28,-0.7267483582561635,237.67843367873982,0.3481861455292112
149,3,0.01,4,29,-0.626442617042713,232.5608372190851,0.34145883915008013
150,3,0.01,5,0,-0.6858588233121425,262.5008538276184,0.3955622850485348
151,3,0.01,5,1,-0.3476530408391434,246.35329348888908,0.362957969662943
152,3,0.01,5,2,-0.6617111920830947,250.47347728717978,0.37632025248133444
153,3,0.01,5,3,-0.7744179883394994,255.16056079650892,0.37559280700563913
154,3,0.01,5,4,-0.5641533894353556,255.64366083576678,0.3866910666484747
155,3,0.01,5,5,-0.5191170937720028,248.89332785585236,0.3734707121416954
156,3,0.01,5,6,-0.48219421084312053,252.76470472989854,0.37326985505365934
157,3,0.01,5,7,-0.8215724144247707,264.0260946294875,0.39437616886427945
158,3,0.01,5,8,-0.5655575966078389,252.60788379486863,0.37856672693662885
159,3,0.01,5,9,-0.7530399392254251,260.094047296857,0.38826273549625817
160,3,0.01,5,10,-0.7853877443131475,240.50062697561816,0.3624406615647808
161,3,0.01,5,11,-0.8138636163679394,255.01730027099185,0.37854270990592953
162,3,0.01,5,12,-0.43990735193967945,222.23390559774705,0.3302699497636798
163,3,0.01,5,13,-0.5898776585751103,239.74572829666792,0.35546298119212727
164,3,0.01,5,14,-0.5980699595369118,241.46015630431498,0.35734005800305785
165,3,0.01,5,15,-0.6728566374430792,266.63086708012514,0.4044677557869718
166,3,0.01,5,16,-0.7159060948431115,213.97431447655762,0.3096911899073825
167,3,0.01,5,17,-0.5386082145962026,225.54858795691612,0.33527662774854616
168,3,0.01,5,18,-0.49011450743950763,240.72475196231127,0.35654898167474514
169,3,0.01,5,19,-0.5298658909123332,240.0854199952631,0.3574153984975011
170,3,0.01,5,20,-0.40577065384327393,240.6801734690993,0.3611955588202917
171,3,0.01,5,21,-0.5887135437459672,245.14587326179696,0.3704924140503422
172,3,0.01,5,22,-0.5878938202067708,230.12609507005502,0.3431319369930638
173,3,0.01,5,23,-0.6763582033397966,242.19386750637193,0.3638808583768407
174,3,0.01,5,24,-0.5253839162833671,238.84323037574154,0.3570580870559683
175,3,0.01,5,25,-0.6960149645275688,246.55547053674195,0.36737434119088785
176,3,0.01,5,26,-0.7968306697141773,265.43254187381064,0.3964098882143503
177,3,0.01,5,27,-0.6977780490949689,268.70916279324683,0.401488857822031
178,3,0.01,5,28,-0.5970374378889205,243.99166294500773,0.3647637852945302
179,3,0.01,5,29,-0.5755152956629727,223.09356673204366,0.33324516477294835
180,3,0.01,6,0,-0.6842006590790953,244.23281987332498,0.3672878896591481
181,3,0.01,6,1,-0.3756126829432512,230.32239437314436,0.34184816627799486
182,3,0.01,6,2,-0.6745618257222614,222.43413133451574,0.32699338205776146
183,3,0.01,6,3,-0.5846335220308055,264.4962669307013,0.3970944159844045
184,3,0.01,6,4,-0.4858099790714488,256.97385300712335,0.3870361703662442
185,3,0.01,6,5,-0.4800413392450043,241.24376947887353,0.3556661440186784
186,3,0.01,6,6,-0.7576578175653984,245.3990246917332,0.3629421394196793
187,3,0.01,6,7,-0.7068652033899446,258.9608827276325,0.3903538605768044
188,3,0.01,6,8,-0.5412532606983687,232.9895466634655,0.3461777384009066
189,3,0.01,6,9,-0.7059681559391485,253.9718411577071,0.3811063613653692
190,3,0.01,6,10,-0.7710036206985516,244.0270864988989,0.35978013009793325
191,3,0.01,6,11,-0.6100318196507563,253.90397668733002,0.3877393718594641
192,3,0.01,6,12,-0.8081822052444788,258.7556538145855,0.3784708692364265
193,3,0.01,6,13,-0.6936899946637783,255.37116353167684,0.3807426435650803
194,3,0.01,6,14,-0.4859040743077802,222.17667470153478,0.3321894585794663
195,3,0.01,6,15,-0.6079361455346387,251.4051279557982,0.3793774164775252
196,3,0.01,6,16,-0.7822169854990237,266.08253839306144,0.39807803293943095
197,3,0.01,6,17,-0.6796870310264209,262.11567506571663,0.381783162565831
198,3,0.01,6,18,-0.8264107742901721,261.23928730290794,0.384486401257398
199,3,0.01,6,19,-0.7739574064163541,274.84126145122235,0.4206898337435892
200,3,0.01,6,20,-0.8829993767355985,271.0390716582642,0.4045435777271143
201,3,0.01,6,21,-0.450948733651304,229.56039620780336,0.34090142472484236
202,3,0.01,6,22,-0.6637546205788255,262.76727624518963,0.38978754325728054
203,3,0.01,6,23,-0.6338679871654981,236.5027182025407,0.3548001310128841
204,3,0.01,6,24,-0.44247830472126043,229.61018212000604,0.34788035667036593
205,3,0.01,6,25,-0.6675933615046855,256.91124029281696,0.38286685437394347
206,3,0.01,6,26,-0.4851662052924442,251.17404852798583,0.3766653740793713
207,3,0.01,6,27,-0.6628296505797668,251.1230777492983,0.37166500138507724
208,3,0.01,6,28,-0.7060019504969349,249.93562721443502,0.36942797739048644
209,3,0.01,6,29,-0.6735470845183964,242.4561588249944,0.36266689758398796
210,3,0.01,7,0,-0.5955283634520826,263.0812827333825,0.4034601181685294
211,3,0.01,7,1,-0.7940094689049298,272.3060937965643,0.41701983879868293
212,3,0.01,7,2,-0.36388250750568213,282.2905709191297,0.4349056628620107
213,3,0.01,7,3,-0.7830072540661037,270.014138986822,0.4090166689930294
214,3,0.01,7,4,-0.7771771219663229,225.702350711475,0.32332703883491715
215,3,0.01,7,5,-0.41279825633516004,248.61858019610546,0.37541257136020345
216,3,0.01,7,6,-0.8299407210522881,268.0480431164565,0.3906169866148261
217,3,0.01,7,7,-0.6258821875527404,251.69086048352062,0.37860161952467425
218,3,0.01,7,8,-0.8361081537335998,249.1160241223663,0.3725797404543317
219,3,0.01,7,9,-0.6863490783332269,276.8488766638022,0.4239602075471047
220,3,0.01,7,10,-0.8050558552139623,275.3190573199015,0.415956538507738
221,3,0.01,7,11,-0.6779550745929188,270.16957992846886,0.4095102492632629
222,3,0.01,7,12,-0.5184629765671909,258.4315570348504,0.3954495625790507
223,3,0.01,7,13,-0.4310526645503614,250.8399614583424,0.3763776789143762
224,3,0.01,7,14,-0.8680790248989211,234.04583196277676,0.35093243911167155
225,3,0.01,7,15,-0.5270278286397813,252.86998815547875,0.37664092725886994
226,3,0.01,7,16,-0.7779571822732813,271.64778065064917,0.4038071691513428
227,3,0.01,7,17,-0.4443705509863385,244.09416233960863,0.36878890065403586
228,3,0.01,7,18,-0.646233696688618,263.1855718742748,0.39816712557880224
229,3,0.01,7,19,-0.37343082892188284,257.07889595997636,0.39149645862154836
230,3,0.01,7,20,-0.48593902231530023,254.83577452309638,0.39171822783855254
231,3,0.01,7,21,-0.7597015309102749,265.26398947841994,0.4061527692605645
232,3,0.01,7,22,-0.7735518486742277,271.0288658147564,0.4101161699937506
233,3,0.01,7,23,-0.1285721154267498,227.18800249914216,0.3396370428465654
234,3,0.01,7,24,-0.5095827448165055,219.15907506856647,0.32619070526574045
235,3,0.01,7,25,-0.7763147122148536,268.32795347067633,0.3946618186643763
236,3,0.01,7,26,-0.600587197150347,265.2752324765748,0.40023624008351616
237,3,0.01,7,27,-0.7959234084459151,263.750544068642,0.39476318701019936
238,3,0.01,7,28,-0.5979722986818209,261.3858970540939,0.3965141474148179
239,3,0.01,7,29,-0.7848835764449734,291.97845006189317,0.44264254080125526
240,3,0.01,8,0,-0.5780069983171131,228.13669294516671,0.3337350807639716
241,3,0.01,8,1,-0.7477120147861552,223.16670989796833,0.32608859355801917
242,3,0.01,8,2,-0.7767553609566011,230.63143651325433,0.34045188862579767
243,3,0.01,8,3,-0.39163073254258024,245.62839778068914,0.3720959274827604
244,3,0.01,8,4,-0.8462761596213592,239.26659754003563,0.3480581960272537
245,3,0.01,8,5,-0.8322073616139919,239.20687661883744,0.3524690028233802
246,3,0.01,8,6,-0.647982346806626,230.56529754810836,0.3433297279019725
247,3,0.01,8,7,-0.7361753874293363,280.55392236237134,0.43306709920429975
248,3,0.01,8,8,-0.8276888064593494,286.1007983066156,0.43729744875110005
249,3,0.01,8,9,-0.732701417624131,238.09015889044846,0.3567102907301716
250,3,0.01,8,10,-0.7436072274278764,245.62330530873874,0.3588294109661588
251,3,0.01,8,11,-0.6514516721396756,220.30664999170003,0.3197128381947579
252,3,0.01,8,12,-0.7846563212037193,239.56186915362528,0.3483852881342015
253,3,0.01,8,13,-0.8262032575788334,240.72797939724876,0.36157799805098295
254,3,0.01,8,14,-0.7964576625795603,246.96240177136465,0.36688452776667085
255,3,0.01,8,15,-0.41758236271312094,247.6912194696769,0.3731175717410586
256,3,0.01,8,16,-0.6988203469859031,227.81747751199114,0.32819469558068726
257,3,0.01,8,17,-0.853849790204824,237.54664499967808,0.3491581553797654
258,3,0.01,8,18,-0.8131277363675397,234.15886235494963,0.3502208027066051
259,3,0.01,8,19,-0.15845213778658843,260.884443802702,0.40984586339948975
260,3,0.01,8,20,-0.46094919211677104,276.9221008534616,0.4221162197210932
261,3,0.01,8,21,-0.845511494945134,250.82521294744353,0.37967307843734394
262,3,0.01,8,22,-0.5402508310873276,242.87869197649897,0.3595680819486784
263,3,0.01,8,23,-0.8049799239513872,230.51348455011438,0.33927466838800746
264,3,0.01,8,24,-0.7931842965190175,244.49579772200107,0.36157712789852275
265,3,0.01,8,25,-0.6806581559453312,213.6821697108046,0.31225291279781836
266,3,0.01,8,26,-0.7184588055946054,250.9695917230841,0.3717908382786961
267,3,0.01,8,27,-0.7266279678048008,224.84477245392364,0.33418271493544793
268,3,0.01,8,28,-0.7526157190813446,260.951702021428,0.3922059450086051
269,3,0.01,8,29,-0.7825137588839697,236.5730107315325,0.34199037004990557
270,3,0.01,9,0,-0.8061625043685096,253.7851424602668,0.3784508317002917
271,3,0.01,9,1,-0.7557166311432163,264.9221945285415,0.39237100276158027
272,3,0.01,9,2,-0.6851733472096226,236.26211674792327,0.3554520138133718
273,3,0.01,9,3,-0.37380047635969627,265.2053969364966,0.4100032642052647
274,3,0.01,9,4,-0.5473839636304442,253.16080075775798,0.3872404075560856
275,3,0.01,9,5,-0.537607011904492,230.437403276928,0.3472498456852698
276,3,0.01,9,6,-0.42844495386835657,244.4048304603616,0.36567936311926547
277,3,0.01,9,7,-0.48407602355296503,229.27984105207722,0.349549216524405
278,3,0.01,9,8,-0.8433441630859061,268.0803724916425,0.39894628363309703
279,3,0.01,9,9,-0.8370377706065382,251.57370418410983,0.372789580087267
280,3,0.01,9,10,-0.8330306980236394,290.13120963983647,0.4379148976471428
281,3,0.01,9,11,-0.39510139123264015,224.22584384193124,0.3377827293524125
282,3,0.01,9,12,-0.49982698204775033,238.76489115446876,0.3566210665084939
283,3,0.01,9,13,-0.4380767509165593,243.2168237705541,0.36821793077675874
284,3,0.01,9,14,-0.36545336435800563,259.84341100888065,0.40133970067027525
285,3,0.01,9,15,-0.6518932547687067,289.0089415742993,0.44328986203283033
286,3,0.01,9,16,-0.5433355697943728,239.25283248767562,0.36281611611755465
287,3,0.01,9,17,-0.4734185602178949,236.45570771246642,0.3493157697035468
288,3,0.01,9,18,-0.8126978427939192,259.31746473767515,0.3780103223826594
289,3,0.01,9,19,-0.5489926875853682,238.27758966243414,0.3619714870815625
290,3,0.01,9,20,-0.7948288657001643,269.6452701326803,0.4006807959227643
291,3,0.01,9,21,-0.6134874331278862,243.74005871769313,0.36674452391488804
292,3,0.01,9,22,-0.7333883030984273,248.5488356132223,0.3763598980653268
293,3,0.01,9,23,-0.5353569577334221,237.44029012920848,0.36101985303460715
294,3,0.01,9,24,-0.42795827129360053,229.84126556412232,0.33933848515696186
295,3,0.01,9,25,-0.4829908491154555,229.71155662225092,0.34482791743440294
296,3,0.01,9,26,-0.5280978724770055,261.431491789005,0.39272159294723
297,3,0.01,9,27,-0.5378302652923606,244.35309877041092,0.35746964341041193
298,3,0.01,9,28,-0.28619560487747436,232.5722230506044,0.3497083245929764
299,3,0.01,9,29,-0.8048552788188065,256.88745519348316,0.3960341834421717
300,3,0.05,0,0,-0.42858392484106317,356.80276884302947,0.5329653565877143
301,3,0.05,0,1,-0.539705917763912,328.9060275795993,0.48789353101661764
302,3,0.05,0,2,-0.4639767497888891,335.4187055412506,0.5051274539999698
303,3,0.05,0,3,-0.3577116275579941,333.99271516518144,0.5013311350238425
304,3,0.05,0,4,-0.38652779023292777,327.22346786805883,0.4927071318358825
305,3,0.05,0,5,-0.6307266536942113,348.9407579136094,0.5212768932669167
306,3,0.05,0,6,-0.2730065762225544,344.6146449717239,0.5268422999099226
307,3,0.05,0,7,-0.32631513754327285,358.38861344699467,0.5500929713871127
308,3,0.05,0,8,-0.4113841120811175,360.8019412386293,0.5481121484231379
309,3,0.05,0,9,-0.34909961148676977,340.8565855254404,0.5188185083133531
310,3,0.05,0,10,-0.5294896664052713,349.94984916482537,0.5304685295665472
311,3,0.05,0,11,-0.37282172322758617,342.0097139083855,0.5212965350042915
312,3,0.05,0,12,-0.42585946887380427,352.964779386716,0.5356041538935036
313,3,0.05,0,13,-0.4258291906310124,341.58786942835627,0.5153000124205007
314,3,0.05,0,14,-0.43202477110066223,361.94251668120893,0.5511491360452977
315,3,0.05,0,15,-0.3912989116232479,333.05093025339534,0.5074568497735283
316,3,0.05,0,16,-0.6401122104293274,357.32096066102594,0.5390861159051834
317,3,0.05,0,17,-0.49247876002093655,363.4854162112717,0.5543274578237543
318,3,0.05,0,18,-0.47645505855557424,352.07518576165234,0.5318487020932761
319,3,0.05,0,19,-0.47821431009837106,339.29412259201877,0.5126508846398449
320,3,0.05,0,20,-0.4781700259399688,344.21150325080407,0.5199241411545793
321,3,0.05,0,21,-0.5628345995865228,321.1221697907019,0.4789286786084694
322,3,0.05,0,22,-0.43127295215219635,360.8038305649429,0.5490753858385532
323,3,0.05,0,23,-0.42045965344667735,361.6488996129072,0.5434635895574125
324,3,0.05,0,24,-0.3699304164981833,327.3553224114181,0.48788662302467306
325,3,0.05,0,25,-0.5475589272533379,319.97360621817717,0.4777636487596202
326,3,0.05,0,26,-0.42780321777768676,344.3630499009875,0.5171781845969149
327,3,0.05,0,27,-0.33689691898392876,348.0304389854803,0.5278250563167372
328,3,0.05,0,28,-0.18122675033344882,336.6861824748152,0.522707856429527
329,3,0.05,0,29,-0.443564461407862,356.5196760169529,0.5401227525673022
330,3,0.05,1,0,-0.3665705674749482,332.5818818926606,0.4969107774917491
331,3,0.05,1,1,-0.44568471246180713,345.8924858581316,0.5190097645471856
332,3,0.05,1,2,-0.5330531477374106,355.3562218584115,0.5370303442032952
333,3,0.05,1,3,-0.40095850377481385,342.9120652562149,0.514074451879281
334,3,0.05,1,4,-0.5359816597013253,318.13955821298845,0.4665543029742611
335,3,0.05,1,5,-0.45845350997546647,319.48972101504995,0.48076102445197155
336,3,0.05,1,6,-0.7075427549254405,341.0415464998627,0.4999149594089391
337,3,0.05,1,7,-0.5386746974709672,321.87460668171906,0.48190743746294135
338,3,0.05,1,8,-0.47503554076250315,353.6069671788294,0.5337691420047577
339,3,0.05,1,9,-0.47103119650787867,338.4181081079195,0.5121024652098525
340,3,0.05,1,10,-0.4858264970425375,331.42516370472623,0.49935098240158093
341,3,0.05,1,11,-0.6360875445722823,328.7498943253645,0.4875602726160965
342,3,0.05,1,12,-0.6044170317743176,324.52600301515525,0.4767108647757509
343,3,0.05,1,13,-0.5085510906701192,327.0880842479228,0.49042781899952786
344,3,0.05,1,14,-0.6463238915486847,338.4646051959953,0.5049312659265549
345,3,0.05,1,15,-0.4565922422988833,317.5765683495936,0.46938862585606184
346,3,0.05,1,16,-0.5885474042178902,335.26000286465023,0.4989862963707686
347,3,0.05,1,17,-0.5931961381996352,336.5935080103868,0.49980402495477333
348,3,0.05,1,18,-0.6596315747055658,337.58978147385363,0.503113609130617
349,3,0.05,1,19,-0.5093358332821455,334.0595255507137,0.5077767901994005
350,3,0.05,1,20,-0.510058034389644,323.6900435316248,0.47880130233185714
351,3,0.05,1,21,-0.4103064592934986,318.49002823037165,0.47327557250290136
352,3,0.05,1,22,-0.4780604394727317,333.0807191511523,0.49168173930404285
353,3,0.05,1,23,-0.35633902564648273,316.8491138898635,0.4756002511800142
354,3,0.05,1,24,-0.6464154422057251,351.5033507511116,0.5196591255578135
355,3,0.05,1,25,-0.6171483309177992,347.7447665405691,0.5188272931253359
356,3,0.05,1,26,-0.5394072531336301,330.7132302493604,0.4968605020412166
357,3,0.05,1,27,-0.5811406979558709,336.9730618541741,0.4967153184098474
358,3,0.05,1,28,-0.5267871892362291,335.28357058596356,0.4939579660981839
