,er_p,complex_spread_ratio,repetition,measure,pen_name,data,pearson,euclidean,mape
26,0.05,0.05,8,opinion-timeseries,rep,"[ 57.         100.         100.          93.36667     93.36667
   0.26666668   0.26666668  91.166664    99.96667    100.
   0.53333336   0.53333336   0.53333336   0.53333336   0.53333336
   0.53333336   0.53333336   0.           0.           0.
   0.          92.6        100.           2.5          0.
   0.           0.          92.166664    92.166664    99.933334
 100.          93.566666    92.7         99.86667      2.4
  93.03333     99.86667    100.           0.5          0.
   0.          90.26667     90.26667    100.         100.
 100.         100.         100.         100.         100.
 100.         100.         100.         100.         100.
 100.         100.         100.         100.         100.
 100.         100.           0.6          0.        ]",0.21609690258702022,365.2711221083306,0.6960365399968882
27,0.05,0.05,9,opinion-timeseries,dem,"[ 65.         65.         65.          0.          0.          0.
   0.         99.5        99.5        99.5        99.5        99.5
  99.5        99.5        99.5        99.5        99.5        99.5
  99.5        99.5         0.          0.        100.          0.8333333
   0.          0.          0.          0.          0.          0.
   0.          0.          0.          0.          0.         99.8
  99.8       100.        100.        100.        100.         99.433334
  99.433334   99.433334   99.433334  100.        100.        100.
 100.        100.        100.        100.        100.        100.
 100.        100.        100.        100.        100.        100.
 100.        100.        100.          0.       ]",0.3068796723118528,383.20171117864595,0.360192018234896
28,0.05,0.05,9,opinion-timeseries,mod,"[47.       87.666664 88.       77.4      77.4      31.3      31.3
 77.76667  81.       81.       33.733334 33.733334 33.733334 33.733334
 33.733334 33.733334 33.733334 28.       28.       28.       28.
 77.333336 81.       33.666668 28.       28.       28.       76.1
 76.1      80.933334 81.       79.066666 78.63333  81.       33.166668
 78.8      81.       81.       33.4      28.133333 28.       76.86667
 76.86667  80.933334 81.       81.       81.       81.       81.
 81.       81.       81.       81.       81.       81.       81.
 81.       81.       81.       81.       81.       81.       33.333332
 28.166666]",0.10776935240277918,217.78453286545528,0.2694812195206756
29,0.05,0.05,9,opinion-timeseries,rep,"[ 41.        100.        100.         98.63333    98.63333     2.0333333
   2.0333333  98.8       100.        100.          3.0666666   3.0666666
   3.0666666   3.0666666   3.0666666   3.0666666   3.0666666   0.
   0.          0.          0.         99.        100.          2.7
   0.          0.          0.         98.666664   98.666664  100.
 100.         99.333336   99.3       100.          2.6        98.86667
 100.        100.          3.1         0.          0.         98.5
  98.5       100.        100.        100.        100.        100.
 100.        100.        100.        100.        100.        100.
 100.        100.        100.        100.        100.        100.
 100.        100.          2.8666666   0.       ]",0.22192289507951268,367.4162895649461,0.7034287502041416
30,0.05,0.1,0,opinion-timeseries,dem,"[ 54.          54.          54.           0.           0.
   0.           0.          79.26667     79.26667     79.26667
  78.4         78.4         78.4         78.4         78.4
  78.4         78.4         78.4         78.4         78.4
   0.           0.          98.066666     0.23333333   0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
  85.13333     85.13333    100.         100.         100.
 100.          82.53333     82.53333     81.6         81.6
 100.         100.         100.         100.          99.
 100.         100.          99.          99.         100.
 100.         100.         100.         100.         100.
 100.         100.         100.           0.        ]",0.4091309394719184,380.6903199984354,0.34490792261644676
31,0.05,0.1,0,opinion-timeseries,mod,"[31.       53.       53.       28.3      28.3      17.466667 17.466667
 28.533333 29.       29.       17.733334 17.733334 17.733334 17.733334
 17.733334 17.733334 17.733334 17.       17.       17.       17.
 28.233334 29.       17.433332 17.       17.       17.       28.466667
 28.466667 29.       29.       28.4      28.633333 29.       17.5
 28.1      29.       29.       17.5      17.       17.       28.
 28.       29.       29.       29.       29.       29.       29.
 29.       29.       29.       29.       29.       29.       29.
 29.       29.       29.       29.       29.       29.       17.633333
 17.      ]",-0.2242886768411668,402.23212261479915,0.647430192001438
32,0.05,0.1,0,opinion-timeseries,rep,"[50.         93.         93.         56.333332   56.333332    0.23333333
  0.23333333 58.533333   78.9        81.53333     0.5         0.5
  0.5         0.5         0.5         0.5         0.5         0.
  0.          0.          0.         54.133335   81.666664    0.33333334
  0.          0.          0.         56.533333   56.533333   78.63333
 81.63333    56.566666   56.466667   79.166664    0.3        59.966667
 78.8        81.566666    0.46666667  0.          0.         58.033333
 58.033333   78.63333    81.86667    82.         82.         82.
 82.         82.         82.         82.         82.         82.
 82.         82.         82.         82.         82.         82.
 82.         82.          0.73333335  0.        ]",0.22032085680221858,313.8302637047933,0.5044629055578379
33,0.05,0.1,1,opinion-timeseries,dem,"[ 63.          63.          63.           0.           0.
   0.           0.          97.26667     97.26667     97.26667
  95.26667     95.26667     95.26667     95.26667     95.26667
  95.26667     95.26667     95.26667     95.26667     95.26667
   0.           0.          97.833336     0.46666667   0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
  98.1         98.1        100.         100.         100.
 100.          95.96667     95.96667     93.96667     93.96667
 100.         100.         100.         100.          98.
 100.         100.          98.          98.         100.
 100.         100.         100.         100.         100.
 100.         100.         100.           0.        ]",0.32176731235979034,381.34756243311523,0.34831050571315963
34,0.05,0.1,1,opinion-timeseries,mod,"[43.       59.       59.       46.133335 46.133335 32.166668 32.166668
 45.866665 48.       48.       31.933332 31.933332 31.933332 31.933332
 31.933332 31.933332 31.933332 29.033333 29.033333 29.033333 29.
 45.766666 48.       32.233334 29.       29.       29.       45.866665
 45.866665 48.       48.       45.966667 45.966667 48.       31.766666
 46.066666 48.       48.       32.133335 29.5      29.       45.666668
 45.666668 47.966667 48.       48.       48.       48.       48.
 48.       48.       48.       48.       48.       48.       48.
 48.       48.       48.       48.       48.       48.       31.8
 29.5     ]",-0.023496467964224048,277.64101038684976,0.4350820427840418
35,0.05,0.1,1,opinion-timeseries,rep,"[45.        99.        99.        78.9       78.9        2.1666667
  2.1666667 78.333336  91.933334  93.         5.1        5.1
  5.1        5.1        5.1        5.1        5.1        1.
  1.         1.         1.        77.73333   93.         5.8
  1.         1.         1.        79.166664  79.166664  92.166664
 92.96667   81.03333   80.933334  92.46667    5.1666665 81.73333
 92.46667   92.96667    4.8333335  1.         1.        78.066666
 78.066666  91.7       92.96667   93.        93.        93.
 93.        93.        93.        93.        93.        93.
 93.        93.        93.        93.        93.        93.
 93.        93.         5.6666665  1.       ]",0.22797649956478497,327.7651951946329,0.5932657099454688
