,ba_m,complex_spread_ratio,repetition,measure,pen_name,data,pearson,euclidean,mape
20,3,0.05,6,opinion-timeseries,rep,"[47.       72.46667  74.       57.566666 57.566666 32.266666 32.266666
 55.166668 59.066666 60.8      33.033333 33.033333 33.033333 33.033333
 33.033333 33.033333 33.033333 31.       31.       31.       30.733334
 57.066666 61.       33.566666 30.       30.       30.       56.366665
 56.366665 60.733334 61.       58.1      57.7      60.9      33.566666
 57.166668 59.933334 60.933334 32.766666 30.       30.       54.666668
 54.666668 59.566666 61.733334 62.       62.       62.       62.
 62.       62.       62.       62.       62.       62.       62.
 62.       62.       62.       62.       62.       62.       32.166668
 30.      ]",0.16111082919743097,157.40600844880586,0.25572869669940135
21,3,0.05,7,opinion-timeseries,dem,"[61.       61.       61.       14.666667 14.666667 14.666667 14.666667
 87.666664 87.666664 87.666664 73.433334 61.733334 58.133335 58.133335
 56.466667 56.466667 56.466667 56.466667 56.2      56.2      15.7
 15.7      72.36667  17.1      13.066667 13.       13.       13.
 13.       13.       13.       13.       13.       13.       13.
 86.96667  86.96667  90.933334 90.933334 90.933334 90.933334 85.96667
 85.96667  71.13333  71.13333  91.86667  92.       92.       92.
 75.6      92.       92.       76.26667  65.4      91.8      91.8
 91.8      91.8      91.8      91.8      92.       92.       92.
 16.433332]",0.38662523696808626,334.37189411781753,0.34625691359291083
22,3,0.05,7,opinion-timeseries,mod,"[39.       46.566666 47.       40.366665 40.366665 38.366665 38.366665
 40.366665 40.366665 40.366665 38.366665 38.366665 38.366665 38.366665
 38.366665 38.366665 38.366665 38.366665 38.366665 38.366665 35.066666
 39.166668 39.2      34.866665 34.       34.       34.       38.633335
 38.633335 39.       39.       39.       39.       39.       34.966667
 38.966667 39.       39.       34.7      34.       34.       38.066666
 38.066666 39.       39.       39.       39.       39.       39.
 39.       39.       39.       39.       39.       39.       39.
 39.       39.       39.       39.       39.       39.       34.833332
 34.      ]",-0.4240468332336496,296.6680517059828,0.47171897944658725
23,3,0.05,7,opinion-timeseries,rep,"[55.       77.066666 79.46667  56.566666 56.566666 38.266666 38.266666
 55.933334 60.166668 61.       39.5      39.5      39.5      39.5
 39.5      39.5      39.5      37.       37.       37.       36.766666
 55.8      61.       39.266666 35.       35.       35.       54.933334
 54.933334 60.266666 61.       57.933334 57.1      60.5      39.433334
 57.133335 60.666668 61.       38.733334 35.266666 35.       53.033333
 53.033333 59.733334 61.       61.       61.       61.       61.
 61.       61.       61.       61.       61.       61.       61.
 61.       61.       61.       61.       61.       61.       38.433334
 35.      ]",0.0646976296298474,136.56909610644294,0.23347273822114817
24,3,0.05,8,opinion-timeseries,dem,"[70.       70.       70.       12.066667 12.066667 12.066667 12.066667
 88.23333  88.23333  88.23333  82.5      77.8      73.2      73.2
 65.566666 65.566666 65.566666 65.566666 54.133335 42.5      12.566667
 12.566667 68.433334 14.566667  9.533334  9.066667  9.033334  9.033334
  9.033334  9.033334  9.033334  9.033334  9.033334  9.033334  9.033334
 86.76667  86.76667  94.       94.       94.       94.       87.333336
 87.333336 77.433334 77.433334 94.       94.       94.       94.
 67.7      93.7      93.7      74.933334 57.433334 93.7      93.7
 93.7      93.7      93.7      93.7      93.933334 94.       94.
 13.666667]",0.31917486114041754,346.0211728049064,0.33634274581742374
25,3,0.05,8,opinion-timeseries,mod,"[45.       54.133335 55.       52.       52.       52.       52.
 52.       52.       52.       52.       52.       51.766666 51.766666
 50.       49.166668 49.166668 49.166668 49.       49.       46.
 51.3      51.866665 46.533333 46.533333 46.533333 46.533333 51.433334
 51.433334 52.       52.       52.       52.       52.       49.
 52.       52.       51.833332 48.833332 48.833332 48.833332 52.
 52.       52.       52.       52.       52.       52.       50.233334
 49.266666 52.       52.       50.266666 49.033333 51.233334 49.566666
 49.566666 49.566666 49.       49.       51.4      52.       49.
 49.      ]",-0.22210129630127254,202.6096451385273,0.3087579792759589
26,3,0.05,8,opinion-timeseries,rep,"[46.       68.       68.       57.3      57.3      37.933334 37.933334
 57.       58.       58.       38.666668 37.333332 36.933334 36.933334
 36.933334 35.833332 35.833332 35.       34.333332 34.       33.
 54.8      57.333332 36.033333 33.6      33.6      33.6      55.133335
 55.133335 57.333332 57.9      57.333332 57.133335 58.       38.9
 57.1      58.       57.933334 36.2      34.666668 34.666668 56.533333
 56.533333 56.066666 58.       58.       58.       58.       54.366665
 53.066666 57.8      57.8      55.233334 53.1      57.466667 51.466667
 51.466667 51.466667 50.666668 50.666668 56.4      57.466667 38.066666
 36.466667]",0.058421889529634334,148.64965343700968,0.26056747861707935
27,3,0.05,9,opinion-timeseries,dem,"[73.       73.       73.       14.766666 14.766666 14.766666 14.766666
 84.4      84.4      84.4      74.53333  68.26667  67.4      67.4
 66.73333  66.73333  66.73333  66.73333  64.       61.033333 15.2
 15.2      59.9      16.8      14.       14.       14.       14.
 14.       14.       14.       14.       14.       14.       14.
 81.7      81.7      89.8      89.8      89.8      89.8      82.7
 82.7      69.53333  69.53333  91.4      92.       92.       92.
 65.066666 91.       91.       63.6      51.4      91.       91.
 91.       91.       91.       91.       91.       91.       91.
 15.933333]",0.3044095122128226,331.6252362152139,0.3406655585371564
28,3,0.05,9,opinion-timeseries,mod,"[45.       50.       50.       43.       43.       42.       42.
 43.       43.       43.       42.       42.       42.       42.
 41.       41.       41.       41.       41.       41.       41.
 42.       42.       41.       41.       41.       41.       42.
 42.       42.       42.       42.       42.       42.       41.
 42.       42.       42.       41.       41.       41.       42.
 42.       42.       42.       44.466667 46.       46.       46.
 46.       46.       46.       46.       46.       46.       46.
 46.       46.       46.       46.       46.       46.       42.333332
 41.      ]",-0.0904028592200415,258.40998518712246,0.4078200464181431
29,3,0.05,9,opinion-timeseries,rep,"[40.       71.566666 72.       51.433334 51.433334 27.166666 27.166666
 50.333332 53.       53.       27.566668 27.566668 27.566668 27.566668
 27.566668 27.566668 27.566668 26.       26.       26.       26.
 47.8      49.       28.066668 26.       26.       26.       47.666668
 47.666668 49.       49.       48.       47.766666 49.       28.233334
 48.2      49.       49.       27.366667 26.       26.       47.666668
 47.666668 50.       50.       50.6      50.966667 51.       50.
 50.       51.       51.       50.       50.       51.       50.
 50.       50.       50.       50.       51.       51.       28.933332
 26.      ]",0.02262382300569146,201.45374898547968,0.3620532655962041
