,ba_m,complex_spread_ratio,group_homophily,repetition,measure,pen_name,data,pearson,euclidean,mape
20,3,0.05,0.1,6,opinion-timeseries,rep,"[54.       73.       73.       65.9      65.9      56.166668 56.166668
 66.1      68.       68.       57.966667 57.966667 57.966667 57.966667
 57.966667 57.966667 57.966667 56.       56.       56.       54.766666
 66.36667  68.       56.8      51.133335 51.       51.       65.7
 65.7      68.       68.       66.4      66.4      68.       56.533333
 66.333336 68.       68.       56.266666 52.233334 51.1      66.73333
 66.73333  68.       68.       68.       68.       68.       68.
 68.       68.       68.       68.       68.       68.       68.
 68.       68.       68.       68.       68.       68.       56.066666
 53.366665]",0.1783702163294659,66.27247559149527,0.09561376908091912
21,3,0.05,0.1,7,opinion-timeseries,dem,"[62.       62.       62.       20.4      20.4      20.4      20.4
 79.066666 79.066666 79.066666 70.76667  57.833332 50.966667 50.966667
 50.766666 50.766666 50.766666 50.766666 50.766666 50.766666 23.633333
 23.633333 69.73333  25.566668 20.       20.       20.       20.
 20.       20.       20.       20.       20.       20.       20.
 78.833336 78.833336 82.96667  82.96667  82.96667  82.96667  78.9
 78.9      69.433334 69.433334 83.86667  84.       84.       84.
 67.566666 83.566666 83.566666 73.76667  60.166668 84.       84.
 84.       84.       84.       84.       84.       84.       84.
 24.233334]",0.3897106228613346,317.3611259959778,0.36031093164517347
22,3,0.05,0.1,7,opinion-timeseries,mod,"[43.       48.       48.       43.666668 43.666668 42.9      42.9
 44.866665 45.       45.       44.966667 44.1      44.       44.
 44.       44.       44.       44.       44.       44.       38.2
 42.833332 44.       37.833332 37.       37.       37.       42.133335
 42.133335 44.       44.       44.       44.       44.       38.233334
 43.766666 44.       44.       38.133335 37.       37.       43.8
 43.8      44.       44.       44.       44.       44.       44.
 44.       44.       44.       44.       44.       44.       44.
 44.       44.       44.       44.       44.       44.       37.766666
 37.      ]",-0.2385134728970638,261.440016011419,0.41067817633586723
23,3,0.05,0.1,7,opinion-timeseries,rep,"[49.       65.       65.       60.366665 60.366665 50.566666 50.566666
 58.066666 60.466667 61.       52.066666 52.066666 52.066666 52.066666
 52.066666 52.066666 52.066666 51.       51.       51.       50.833332
 59.966667 61.       51.733334 49.       49.       49.       59.4
 59.4      61.       61.       60.2      60.166668 61.       52.1
 58.933334 60.566666 61.       51.366665 49.266666 49.       57.033333
 57.033333 60.6      61.       61.       61.       61.       60.
 60.       61.       61.       61.       61.       61.       60.
 60.       60.       60.       60.       61.       61.       51.566666
 49.966667]",0.18152909232881975,78.79342123863812,0.14261040481015133
24,3,0.05,0.1,8,opinion-timeseries,dem,"[62.       62.       62.       20.133333 20.133333 20.133333 20.133333
 75.23333  75.23333  75.23333  55.033333 38.666668 36.033333 36.033333
 35.8      35.8      35.8      35.8      34.266666 33.9      22.
 22.       51.766666 22.7      22.       22.       22.       22.
 22.       22.       22.       22.       22.       22.       22.
 73.46667  73.46667  77.4      77.4      77.4      77.4      74.2
 74.2      53.233334 53.233334 79.833336 80.933334 81.       81.
 44.2      79.3      79.3      55.366665 38.766666 78.7      78.7
 78.7      78.7      78.7      78.7      79.73333  80.2      80.2
 24.6     ]",0.37146539252998123,350.0010092010989,0.4244144395065087
25,3,0.05,0.1,8,opinion-timeseries,mod,"[50.       58.       58.       53.       53.       53.       53.
 53.       53.       53.       52.       52.       52.       52.
 50.9      50.       50.       50.       50.       50.       50.
 52.433334 52.7      50.6      50.6      50.6      50.6      52.8
 52.8      53.       53.       53.       53.       53.       52.
 53.       53.       52.833332 51.833332 51.833332 51.833332 53.
 53.       52.       53.       54.       54.       54.       51.566666
 51.       54.       54.       51.666668 51.       53.7      51.266666
 51.266666 51.266666 51.       51.       53.6      54.       53.
 53.      ]",-0.29954443673635595,189.3633768056898,0.2894091569440802
26,3,0.05,0.1,8,opinion-timeseries,rep,"[51.       70.       70.       61.       61.       45.       45.
 61.       61.       61.       45.       45.       45.       45.
 45.       45.       45.       45.       45.       45.       45.
 60.2      60.6      45.333332 45.       45.       45.       60.633335
 60.633335 60.9      61.       61.       61.       61.       45.133335
 61.       61.       60.9      45.       45.       45.       60.833332
 60.833332 59.233334 61.       61.       61.       61.       55.966667
 53.966667 60.833332 60.833332 58.966667 58.5      60.533333 55.333332
 55.333332 55.333332 53.366665 53.366665 60.133335 60.666668 45.
 45.      ]",0.03019153968077725,106.23571732703694,0.18946296960608094
27,3,0.05,0.1,9,opinion-timeseries,dem,"[58.       58.       58.       19.866667 19.866667 19.866667 19.866667
 82.6      82.6      82.6      79.23333  73.066666 70.86667  70.86667
 70.73333  70.73333  70.73333  70.73333  70.73333  70.73333  25.2
 25.2      81.6      29.2      19.666666 19.       19.       19.
 19.       19.       19.       19.       19.       19.       19.
 80.53333  80.53333  87.96667  87.96667  87.96667  87.96667  82.46667
 82.46667  79.333336 79.333336 88.96667  89.       89.       89.
 84.433334 89.       89.       85.26667  79.03333  89.       89.
 89.       89.       89.       89.       89.       89.       89.
 25.966667]",0.3990276894408784,296.0178132148865,0.3015789950936669
28,3,0.05,0.1,9,opinion-timeseries,mod,"[51.       61.366665 62.       53.1      53.1      52.7      52.7
 53.533333 54.       54.       54.       54.       54.       54.
 54.       54.       54.       54.       54.       54.       48.566666
 52.833332 54.       48.733334 48.       48.       48.       52.633335
 52.633335 54.       54.       54.       54.       54.       48.7
 53.4      54.       54.       48.766666 48.       48.       52.933334
 52.933334 54.       54.       54.       54.       54.       54.
 54.       54.       54.       54.       54.       54.       54.
 54.       54.       54.       54.       54.       54.       48.7
 48.      ]",-0.2424213400266312,185.45655090292772,0.2844991640595078
29,3,0.05,0.1,9,opinion-timeseries,rep,"[46.       67.46667  69.       59.8      59.8      46.466667 46.466667
 60.       60.       60.       46.633335 46.633335 46.633335 46.633335
 46.633335 46.633335 46.633335 45.       45.       45.       44.133335
 59.1      60.       48.3      39.9      39.       39.       57.633335
 57.633335 60.       60.       59.766666 59.733334 60.       48.466667
 59.7      60.       60.       45.233334 40.6      39.466667 58.
 58.       60.       60.       60.       60.       60.       60.
 60.       60.       60.       60.       60.       60.       60.
 60.       60.       60.       60.       60.       60.       45.533333
 41.4     ]",0.11453641582242391,105.57546671617526,0.18436518736531143
