,er_p,cognitive_translate,cognitive_exponent,repetition,measure,pen_name,data,pearson,euclidean,mape
20,0.05,0,1,6,opinion-timeseries,rep,"[48.        70.03333   77.433334  47.533333  46.566666  34.3
 33.466667  42.133335  51.333332  57.066666  35.4       32.566666
 29.666666  29.266666  25.733334  22.466667  22.1       11.833333
 10.933333   9.833333   6.866667  20.133333  31.566668  22.666666
 11.2        5.0333333  2.8333333 18.7       18.4       29.266666
 38.433334  35.6       35.2       44.333332  33.966667  42.3
 51.233334  51.633335  33.433334  21.        13.7       29.066668
 28.133333  35.7       43.366665  46.533333  47.266666  47.266666
 45.3       42.466667  50.333332  52.033333  48.366665  44.833332
 45.433334  41.433334  40.333332  39.3       36.366665  35.8
 38.433334  40.933334  30.633333  25.666666 ]",-0.17262827295500027,264.87975697556874,0.47309194786480335
21,0.05,0,1,7,opinion-timeseries,dem,"[70.        70.        70.        49.066666  46.766666  46.766666
 46.766666  60.033333  60.033333  58.833332  49.1       43.566666
 38.666668  38.666668  33.6       33.6       32.933334  32.933334
 28.966667  25.033333  18.833334  18.833334  24.133333  15.666667
 11.133333   8.133333   6.133333   6.133333   6.1        6.1
  6.1        6.1        6.1        6.1        4.4333334 21.433332
 21.433332  34.166668  34.166668  34.166668  34.166668  38.1
 36.8       32.733334  32.733334  43.6       51.533333  57.066666
 63.4       56.4       58.6       56.8       49.733334  44.533333
 48.        48.        48.        45.9       45.9       45.9
 48.        49.7       49.7       36.7      ]",-0.20233111711143179,451.8236377022906,0.5804724450391279
22,0.05,0,1,7,opinion-timeseries,mod,"[42.        66.7       75.2       47.266666  44.8       34.666668
 34.366665  44.7       53.366665  58.5       38.933334  35.333332
 31.3       30.966667  26.533333  22.933332  22.633333  14.566667
 12.733334  11.333333   7.0666666 20.7       33.5       21.266666
 10.6        5.233333   2.4       17.533333  17.333334  28.1
 38.1       37.2       36.933334  45.233334  33.433334  43.833332
 51.733334  51.833332  34.133335  23.266666  15.433333  30.9
 29.933332  37.        44.3       49.3       51.066666  52.166668
 50.366665  45.3       52.533333  53.566666  47.9       43.066666
 44.8       40.266666  39.133335  38.1       34.033333  33.733334
 37.366665  40.566666  30.333334  23.533333 ]",-0.28134932112428135,344.63933710804776,0.5259954137032413
23,0.05,0,1,7,opinion-timeseries,rep,"[47.        71.1       78.53333   46.566666  45.733334  32.3
 31.366667  41.8       50.866665  56.7       35.666668  32.4
 29.2       28.733334  26.133333  23.333334  23.        12.8
 11.566667  10.233334   7.6       20.166666  32.533333  22.833334
 11.1        5.5333333  2.8333333 18.933332  18.666666  30.266666
 38.366665  35.5       34.333332  44.033333  33.533333  42.066666
 51.7       51.166668  33.066666  21.166666  14.433333  28.933332
 27.666666  36.566666  44.8       47.266666  46.433334  47.066666
 45.333332  41.9       49.866665  52.366665  48.933334  45.266666
 45.866665  42.        41.        40.133335  37.033333  36.633335
 39.866665  41.7       31.866667  27.6      ]",-0.1544828507173205,263.0224458626976,0.47149009712247825
24,0.05,0,1,8,opinion-timeseries,dem,"[67.        67.        67.        47.433334  45.166668  45.166668
 45.166668  57.033333  57.033333  55.966667  46.7       41.8
 37.133335  37.133335  32.033333  32.033333  31.433332  31.433332
 27.766666  24.4       18.333334  18.333334  23.2       14.6
 10.366667   7.733333   5.7        5.7        5.5        5.5
  5.5        5.5        5.5        5.5        3.9666667 20.2
 20.2       33.433334  33.433334  33.433334  33.433334  36.166668
 34.933334  30.733334  30.733334  40.6       49.933334  55.866665
 61.533333  54.866665  56.966667  55.166668  48.666668  42.9
 46.533333  46.533333  46.533333  44.233334  44.233334  44.233334
 46.566666  48.366665  48.366665  35.533333 ]",-0.1918166392516165,460.6759653295401,0.5947075038853973
25,0.05,0,1,8,opinion-timeseries,mod,"[48.        72.63333   79.7       49.8       47.5       36.633335
 36.233334  47.033333  55.466667  60.166668  39.333332  34.733334
 30.666666  30.333334  26.266666  23.1       22.633333  14.066667
 12.033334  10.366667   6.733333  19.433332  31.466667  19.966667
  9.733334   4.9333334  2.5666666 18.666666  18.6       30.766666
 39.333332  37.9       36.8       46.066666  33.3       43.533333
 51.3       51.266666  34.633335  23.6       15.5       30.5
 29.        36.1       43.133335  47.866665  51.333332  51.766666
 50.133335  44.966667  52.233334  52.866665  47.366665  42.2
 43.433334  39.3       38.366665  36.766666  33.666668  33.6
 37.        40.033333  29.933332  22.233334 ]",-0.3518947572430683,346.8925084311493,0.5267087833594422
26,0.05,0,1,8,opinion-timeseries,rep,"[47.        70.666664  77.73333   47.6       46.5       32.9
 32.333332  41.466667  49.833332  56.033333  34.666668  31.8
 29.        28.6       25.366667  22.466667  22.166666  12.333333
 11.133333  10.         7.1       20.7       31.2       22.9
 10.766666   5.6666665  2.7       17.7       17.533333  28.266666
 36.533333  35.133335  35.233334  44.4       33.533333  41.3
 50.633335  49.766666  31.6       20.733334  12.533334  27.833334
 26.866667  34.4       41.7       45.1       45.166668  45.5
 44.266666  40.966667  47.933334  50.133335  46.533333  42.766666
 43.633335  40.2       38.733334  38.166668  34.833332  34.2
 36.5       39.4       30.266666  25.933332 ]",-0.20164481825236674,270.16187903715075,0.48556931993766683
27,0.05,0,1,9,opinion-timeseries,dem,"[68.       68.       68.       48.266666 46.366665 46.366665 46.366665
 58.2      58.2      57.533333 48.5      42.966667 37.9      37.9
 33.066666 33.066666 32.3      32.3      28.566668 25.4      17.7
 17.7      23.5      15.933333 11.6       8.133333  5.7       5.7
  5.6       5.6       5.6       5.6       5.6       5.6       4.133333
 21.7      21.7      34.566666 34.566666 34.566666 34.566666 37.7
 36.133335 31.966667 31.966667 43.866665 51.966667 58.4      64.96667
 57.7      59.966667 58.5      50.966667 44.933334 48.766666 48.766666
 48.766666 46.4      46.4      46.4      48.766666 50.466667 50.466667
 37.1     ]",-0.16414741914877568,452.24819408585176,0.5809243785300685
28,0.05,0,1,9,opinion-timeseries,mod,"[48.        71.96667   77.9       49.466667  47.5       36.2
 35.933334  46.733334  55.633335  60.9       41.233334  36.8
 33.066666  32.833332  28.933332  25.933332  25.6       15.833333
 14.1       12.5        7.866667  20.5       32.433334  20.833334
  9.933333   4.8333335  2.3666666 18.133333  17.833334  28.8
 37.966667  36.766666  37.733334  46.166668  33.766666  44.566666
 53.2       53.866665  34.7       22.366667  15.533334  31.133333
 30.033333  37.933334  45.133335  50.633335  53.166668  54.
 52.333332  46.566666  53.766666  54.4       48.466667  43.4
 44.2       39.866665  38.866665  37.366665  34.333332  34.133335
 38.1       40.566666  30.033333  23.7      ]",-0.3269743333516658,340.29745265627093,0.5147749527784791
29,0.05,0,1,9,opinion-timeseries,rep,"[49.       70.86667  78.13333  46.666668 45.6      33.266666 32.8
 42.       50.766666 56.633335 35.1      32.166668 29.633333 29.066668
 25.633333 22.033333 21.766666 11.533334 10.433333  9.2       6.733333
 19.       30.5      21.633333 10.866667  5.        2.7      19.933332
 19.633333 31.266666 39.6      36.233334 34.7      44.833332 33.333332
 42.       51.133335 51.166668 33.466667 20.633333 13.566667 29.066668
 28.1      35.133335 42.9      45.566666 46.566666 47.6      46.033333
 43.266666 50.733334 52.9      48.366665 43.5      44.366665 40.3
 38.7      38.1      35.3      34.9      38.166668 41.       31.233334
 26.166666]",-0.17385569768053474,266.4299681635362,0.4775807350386606
