,er_p,simple_spread_chance,repetition,measure,pen_name,data,pearson,euclidean,mape
22,0.05,0.01,7,opinion-timeseries,mod,"[51.       51.5      52.1      50.7      50.2      50.133335 50.1
 50.066666 50.8      50.766666 50.333332 50.3      50.2      50.166668
 49.266666 48.866665 48.5      48.433334 47.766666 47.266666 46.066666
 46.466667 46.5      45.266666 44.133335 42.966667 41.833332 42.633335
 42.633335 43.266666 43.933334 44.533333 45.333332 45.833332 45.433334
 46.2      46.9      46.866665 46.066666 45.7      45.2      45.333332
 44.933334 45.4      45.533333 45.8      46.433334 46.933334 46.366665
 46.033333 46.4      46.4      45.233334 44.3      43.666668 43.433334
 43.4      42.966667 42.366665 42.366665 42.266666 42.733334 41.666668
 41.2     ]",-0.7451040926661538,239.29480073815645,0.363081037397059
23,0.05,0.01,7,opinion-timeseries,rep,"[52.       53.033333 53.433334 52.       52.       50.9      50.533333
 50.033333 50.533333 50.866665 50.066666 50.066666 50.       49.466667
 49.333332 49.066666 48.933334 47.933334 47.9      47.866665 47.4
 48.033333 48.6      48.566666 47.1      45.8      44.566666 45.133335
 45.133335 45.7      46.433334 46.333332 46.4      46.966667 46.933334
 46.966667 47.633335 47.166668 46.366665 45.4      44.3      44.8
 44.2      44.8      45.2      44.266666 43.3      42.366665 41.666668
 41.666668 42.333332 43.3      43.       42.5      41.966667 41.833332
 41.533333 41.5      40.8      40.4      40.333332 40.433334 39.866665
 39.866665]",-0.8700386658226117,158.2740519317673,0.2748972538314727
24,0.05,0.01,8,opinion-timeseries,dem,"[68.       68.       68.       65.8      65.       65.       65.
 65.36667  65.36667  64.8      63.6      63.1      62.6      62.6
 61.4      61.4      60.5      60.5      59.966667 59.3      58.333332
 58.333332 57.066666 55.866665 54.866665 53.7      52.766666 52.766666
 52.3      52.3      52.3      52.3      52.3      52.3      51.766666
 52.233334 52.233334 52.866665 52.866665 52.866665 52.866665 52.9
 51.833332 51.2      51.2      52.       53.133335 54.266666 55.033333
 54.466667 54.566666 53.433334 52.066666 50.666668 51.       51.
 51.       50.433334 50.433334 50.433334 50.366665 50.233334 50.233334
 49.733334]",-0.9224365276971445,283.91407002450893,0.35886538878802143
25,0.05,0.01,8,opinion-timeseries,mod,"[37.       37.766666 38.633335 38.       37.633335 37.633335 37.633335
 37.633335 38.166668 38.566666 37.866665 37.866665 37.866665 37.866665
 37.033333 36.666668 36.4      36.366665 35.933334 35.6      34.533333
 35.266666 35.766666 35.       34.466667 33.766666 32.8      33.3
 33.266666 33.866665 34.4      35.       35.433334 36.2      35.766666
 36.333332 36.9      37.133335 36.733334 36.333332 35.866665 36.266666
 36.       36.866665 36.733334 37.766666 38.766666 40.       39.8
 39.366665 40.2      40.9      39.866665 39.266666 39.1      38.7
 38.7      38.233334 37.866665 37.866665 38.266666 38.5      37.666668
 37.3     ]",-0.07280168650983994,305.4959446725826,0.49222076348831934
26,0.05,0.01,8,opinion-timeseries,rep,"[55.       55.966667 56.433334 54.3      54.266666 53.533333 53.
 52.633335 53.2      53.7      52.733334 52.733334 52.733334 52.266666
 52.2      51.7      51.6      50.766666 50.7      50.633335 50.1
 50.533333 51.033333 50.9      49.1      47.766666 46.333332 46.866665
 46.866665 47.366665 47.9      47.5      46.933334 47.233334 47.166668
 47.3      47.833332 47.7      46.633335 45.733334 44.566666 45.2
 44.7      45.033333 44.866665 44.3      44.       43.566666 42.933334
 42.9      43.5      44.266666 43.7      43.366665 43.3      42.966667
 42.566666 42.5      42.1      41.633335 41.633335 41.6      40.833332
 40.766666]",-0.8954690437334036,150.73501044514074,0.2594062418561097
27,0.05,0.01,9,opinion-timeseries,dem,"[63.       63.       63.       60.966667 60.466667 60.466667 60.466667
 60.866665 60.866665 60.       59.333332 58.933334 58.3      58.3
 57.2      57.2      56.733334 56.733334 56.3      55.966667 55.366665
 55.366665 54.8      53.5      52.5      51.7      50.766666 50.766666
 50.366665 50.366665 50.366665 50.366665 50.366665 50.366665 49.966667
 50.333332 50.333332 50.666668 50.666668 50.666668 50.666668 50.933334
 49.966667 49.266666 49.266666 50.2      51.       51.966667 52.733334
 52.166668 51.933334 50.6      49.533333 48.5      49.033333 49.033333
 49.033333 48.233334 48.233334 48.233334 48.2      48.433334 48.433334
 48.1     ]",-0.9266253293420507,302.19665952934463,0.3906848228278943
28,0.05,0.01,9,opinion-timeseries,mod,"[57.       57.433334 57.7      56.066666 55.4      55.3      55.266666
 55.233334 55.633335 55.4      54.8      54.8      54.766666 54.766666
 53.7      53.133335 52.666668 52.5      51.8      51.266666 49.7
 50.333332 50.2      49.433334 48.333332 47.466667 46.2      46.866665
 46.866665 47.733334 48.1      48.533333 49.066666 49.5      49.066666
 49.666668 50.133335 50.133335 49.633335 49.033333 48.633335 48.666668
 48.366665 49.066666 48.966667 49.266666 49.9      50.333332 49.833332
 49.5      50.166668 50.4      49.533333 48.233334 47.766666 47.2
 47.2      46.8      46.266666 46.266666 46.533333 46.766666 45.966667
 45.533333]",-0.8159565860298653,210.54489909005247,0.31584252277743113
29,0.05,0.01,9,opinion-timeseries,rep,"[53.       53.8      54.       51.6      51.566666 50.4      49.766666
 49.3      49.766666 50.166668 48.8      48.8      48.8      48.433334
 48.433334 47.966667 47.933334 47.3      47.3      47.3      46.833332
 47.2      47.533333 47.533333 46.3      44.8      43.5      44.
 43.933334 44.366665 45.233334 44.3      44.033333 44.6      44.6
 44.666668 45.       44.866665 44.2      43.233334 42.366665 43.1
 42.3      42.766666 42.8      41.933334 40.866665 40.4      39.5
 39.5      40.033333 41.633335 41.2      40.766666 40.433334 39.966667
 39.666668 39.633335 39.033333 38.7      38.7      38.733334 37.933334
 37.933334]",-0.9112011495555343,170.61602666114555,0.2969526897618213
30,0.05,0.05,0,opinion-timeseries,dem,"[67.       67.       67.       58.366665 55.366665 55.366665 55.366665
 57.266666 57.266666 54.533333 49.533333 47.266666 44.7      44.7
 39.8      39.8      37.833332 37.833332 36.266666 34.566666 31.533333
 31.533333 32.033333 28.8      26.133333 23.333334 21.       21.
 20.166666 20.166666 20.166666 20.166666 20.166666 20.166666 19.333334
 23.233334 23.233334 26.833334 26.833334 26.833334 26.833334 28.933332
 25.833334 24.4      24.4      31.633333 38.466667 44.433334 49.033333
 46.566666 46.633335 42.133335 37.933334 34.433334 37.533333 37.533333
 37.533333 35.3      35.3      35.3      36.333332 37.233334 37.233334
 35.1     ]",-0.647084801488842,444.2944590481841,0.5731703687004577
31,0.05,0.05,0,opinion-timeseries,mod,"[42.       45.166668 48.266666 39.533333 37.433334 36.533333 35.866665
 35.966667 39.533333 40.233334 36.3      35.666668 34.966667 34.666668
 31.033333 29.466667 27.9      27.2      25.833334 24.466667 20.466667
 23.866667 28.033333 25.233334 21.533333 18.933332 16.533333 20.866667
 20.633333 24.933332 28.633333 31.366667 34.066666 37.133335 35.333332
 38.333332 41.2      42.266666 39.666668 36.966667 35.266666 38.
 34.766666 37.6      38.633335 42.3      44.933334 47.333332 45.9
 43.866665 47.366665 47.3      42.066666 37.333332 36.566666 34.833332
 34.6      33.       31.5      31.233334 33.066666 34.066666 30.633333
 28.766666]",-0.23298513439571658,333.61261341728857,0.5239339925546611
