,ba_m,simple_spread_chance,group_homophily,repetition,pearson,euclidean,mape
298,5,0.05,0.25,8,-0.5444561724085027,333.4130196836668,0.5009952673477586
299,5,0.05,0.25,9,-0.48842211516389256,335.61237003112166,0.5039896888543839
300,5,0.05,0.5,0,-0.5571899513736093,332.55459778647804,0.4975475109297447
301,5,0.05,0.5,1,-0.5378961072961361,334.96602013691376,0.5017693212081916
302,5,0.05,0.5,2,-0.4554905652529034,339.41728521083104,0.5122970889260884
303,5,0.05,0.5,3,-0.5297475489270494,339.782286826413,0.5117276334820581
304,5,0.05,0.5,4,-0.51375764211501,332.5170327806815,0.49851087434600566
305,5,0.05,0.5,5,-0.5217806502029175,337.1856356606347,0.5069979490616395
306,5,0.05,0.5,6,-0.4978629540770306,335.92588648881275,0.5052782057368888
307,5,0.05,0.5,7,-0.5487737620305112,337.25227193567076,0.5051260550996379
308,5,0.05,0.5,8,-0.5553294396444942,331.2281281995137,0.4957533754455065
309,5,0.05,0.5,9,-0.5273325569426824,334.49723909230903,0.5027124207369215
310,5,0.05,0.75,0,-0.5059273858587315,329.26127930141655,0.493263703700156
311,5,0.05,0.75,1,-0.5441124342885783,338.0513189988727,0.5062728687009904
312,5,0.05,0.75,2,-0.46586757661261613,332.8552075378553,0.5013299897964928
313,5,0.05,0.75,3,-0.5390219973880314,328.15874101406706,0.4916460441819002
314,5,0.05,0.75,4,-0.5000921617927069,336.1832707544042,0.5062766472987253
315,5,0.05,0.75,5,-0.49849079358905163,332.2178999928707,0.4991684023765293
316,5,0.05,0.75,6,-0.5332424243657764,329.8329849119368,0.4925261216948325
317,5,0.05,0.75,7,-0.5158327890053996,333.15758061415033,0.49929654667187967
318,5,0.05,0.75,8,-0.5013446293759037,333.98467600727474,0.5017873009528059
319,5,0.05,0.75,9,-0.5194072362036463,331.88626457563237,0.49755231548938844
320,5,0.1,0.1,0,-0.23273976451020037,369.88408532253135,0.5597973782274424
321,5,0.1,0.1,1,-0.25549560320521425,368.8151563426606,0.555336076193338
322,5,0.1,0.1,2,-0.2559599715478457,368.9881343015636,0.5552178211777187
323,5,0.1,0.1,3,-0.2637550989332616,365.67687905165667,0.5493647136853351
324,5,0.1,0.1,4,-0.24991878179907187,369.0416980623841,0.5545148580894964
325,5,0.1,0.1,5,-0.24566802402788177,364.5700849737207,0.5489257760322122
326,5,0.1,0.1,6,-0.296684815148593,366.21291757047567,0.5499254336962945
327,5,0.1,0.1,7,-0.2693708273955253,367.1611160329582,0.5534718717595973
328,5,0.1,0.1,8,-0.2389587622018906,366.89822091043123,0.5530664288654159
329,5,0.1,0.1,9,-0.228653027506354,368.6444758186696,0.5555585545632897
330,5,0.1,0.25,0,-0.30776249431203756,365.2754029477822,0.5477690256503752
331,5,0.1,0.25,1,-0.2605665463805052,363.6956296204414,0.5458481761547246
332,5,0.1,0.25,2,-0.2400698268497807,365.27715235680404,0.550240840116324
333,5,0.1,0.25,3,-0.3145337070370983,367.8158902029538,0.5523685388001409
334,5,0.1,0.25,4,-0.28347349898867474,360.7967815582645,0.5403747611164739
335,5,0.1,0.25,5,-0.2736257546398675,364.9356915176705,0.548324765865381
336,5,0.1,0.25,6,-0.27850864976431056,363.5262216431604,0.5454502192359413
337,5,0.1,0.25,7,-0.27396479398915563,364.2803045846021,0.5482097724977374
338,5,0.1,0.25,8,-0.3116881873336798,364.9387454640539,0.5470194536762941
339,5,0.1,0.25,9,-0.28290215943538694,367.88558933963077,0.5530584373710782
340,5,0.1,0.5,0,-0.33300544006412464,364.36900270162647,0.5442853741163537
341,5,0.1,0.5,1,-0.32150828626340233,363.48698224551373,0.543925429731567
342,5,0.1,0.5,2,-0.30468555434582173,365.8427538770018,0.5483896229523713
343,5,0.1,0.5,3,-0.3121715071406262,364.94485981694515,0.5460411307375784
344,5,0.1,0.5,4,-0.28638330956488117,364.43131706816604,0.5469852659465375
345,5,0.1,0.5,5,-0.30564286865269413,365.0402534363066,0.5453822687791906
346,5,0.1,0.5,6,-0.2624262759404084,369.3066428204127,0.5560104014882644
347,5,0.1,0.5,7,-0.32037114835505187,363.79887963402916,0.5438056427932544
348,5,0.1,0.5,8,-0.2411035007196808,363.8984920750461,0.5454776029408102
349,5,0.1,0.5,9,-0.25934659231967844,367.11014238657486,0.5513792514082926
350,5,0.1,0.75,0,-0.27309552337592485,361.77820659064946,0.542709130774958
351,5,0.1,0.75,1,-0.2643091169490353,361.149919240045,0.539904352388199
352,5,0.1,0.75,2,-0.26435990842028884,363.3366194245427,0.5458473859760974
353,5,0.1,0.75,3,-0.28398062590457157,366.3380781178717,0.5515795923792929
354,5,0.1,0.75,4,-0.3340782639423205,364.7982655809976,0.54500902401697
355,5,0.1,0.75,5,-0.29515524302934754,364.62484403716235,0.5470204613043349
356,5,0.1,0.75,6,-0.30373285471240496,362.6861483034413,0.5423688076325904
357,5,0.1,0.75,7,-0.3442812906850463,366.9810313751703,0.5498033495545206
358,5,0.1,0.75,8,-0.3100137545948354,363.2365288383678,0.5428582956146185
359,5,0.1,0.75,9,-0.2752395279838214,363.17332589228613,0.5442599057623217
360,5,0.25,0.1,0,-0.03433802218001707,413.2689105713683,0.6124206700125924
361,5,0.25,0.1,1,-0.04568604204148873,413.3677272332771,0.6120396422144655
362,5,0.25,0.1,2,-0.03014028173231811,414.14917505112777,0.6152803571906794
363,5,0.25,0.1,3,-0.04851302054051321,412.81789051785626,0.6126286808559315
364,5,0.25,0.1,4,-0.04629745842194205,413.8582751673475,0.6151761290589931
365,5,0.25,0.1,5,-0.05410920264043093,415.49926077134273,0.6170639292877002
366,5,0.25,0.1,6,-0.04012721036762972,413.88333077077715,0.6156507460441197
367,5,0.25,0.1,7,-0.05508166743355158,414.1905468015422,0.6135975642624273
368,5,0.25,0.1,8,-0.05442882149041051,413.1271134881051,0.6133365859047873
369,5,0.25,0.1,9,-0.03318293948660883,414.0381282082837,0.6137045240595064
370,5,0.25,0.25,0,-0.03905228432952083,408.86325283205724,0.6033915160669724
371,5,0.25,0.25,1,-0.05943587269965344,410.2818075375235,0.6055042183136351
372,5,0.25,0.25,2,-0.03967340227380759,410.64219143164047,0.6058449448958872
373,5,0.25,0.25,3,-0.04293435028631407,410.26938383315456,0.6054969174140991
374,5,0.25,0.25,4,-0.042041124092472966,408.63361654095894,0.6023084388489316
375,5,0.25,0.25,5,-0.047431814602323145,409.4051184986126,0.6033303289088744
376,5,0.25,0.25,6,-0.05864368077847649,408.77108301839326,0.6018719342029893
377,5,0.25,0.25,7,-0.04800166914493165,408.8300742563938,0.6026476234648431
378,5,0.25,0.25,8,-0.033509438016623164,410.0177317499397,0.6052328001587789
379,5,0.25,0.25,9,-0.05070500767648606,410.33482873873476,0.6050985469842082
380,5,0.25,0.5,0,-0.05510814592976454,411.4245570537114,0.6068316047080915
381,5,0.25,0.5,1,-0.0717191179315124,410.5383780224574,0.6057209587949873
382,5,0.25,0.5,2,-0.06717006847830383,409.23377097298527,0.6039261632923832
383,5,0.25,0.5,3,-0.054725857672278805,411.2011422096223,0.6069088123929153
384,5,0.25,0.5,4,-0.06806880310975726,410.4494444859597,0.6041971681059142
385,5,0.25,0.5,5,-0.07142929226503175,409.8772201632052,0.6048444506598043
386,5,0.25,0.5,6,-0.060698893465423176,411.0848541620962,0.6068298758655609
387,5,0.25,0.5,7,-0.07466038795141826,411.1676144560674,0.6078912523916428
388,5,0.25,0.5,8,-0.056316633609676536,409.3593524921045,0.6028907354715308
389,5,0.25,0.5,9,-0.06570734175017354,410.7341113306943,0.605686431481702
390,5,0.25,0.75,0,-0.06920122921520167,408.0948211429897,0.6002050463046884
391,5,0.25,0.75,1,-0.05658413951393656,408.5230948585078,0.599679060414489
392,5,0.25,0.75,2,-0.059975263338071204,410.56373859583135,0.6048794543731498
393,5,0.25,0.75,3,-0.05101253840117712,407.05513689969666,0.598793984274745
394,5,0.25,0.75,4,-0.06393604136034116,409.81125134244684,0.6022937616429985
395,5,0.25,0.75,5,-0.08858934437867187,408.996038448724,0.6024160379292479
396,5,0.25,0.75,6,-0.043117544318594235,409.6410377887669,0.6038868409323759
397,5,0.25,0.75,7,-0.07301336856204775,409.5549304087579,0.6023529275888619
398,5,0.25,0.75,8,-0.06623220363588055,408.98424816508856,0.6017579123212439
399,5,0.25,0.75,9,-0.0840892622546721,410.4933871449119,0.6038887469577373
400,5,0.5,0.1,0,0.005933320763982439,448.1190827705284,0.6492007141552679
401,5,0.5,0.1,1,0.011086190666662207,447.94131184891756,0.6499875704195568
402,5,0.5,0.1,2,0.008432769295811673,447.9440745622601,0.6493979861669655
403,5,0.5,0.1,3,-0.00028710500742939554,449.0449021258621,0.6511073450318731
404,5,0.5,0.1,4,0.007948363324031718,448.37702657159485,0.6500961132158527
405,5,0.5,0.1,5,0.010682099912415246,447.71219710701047,0.6484294226531021
406,5,0.5,0.1,6,0.004076062093424436,448.03039674016236,0.649057639172853
407,5,0.5,0.1,7,-0.001458187909467908,448.01135377492136,0.6498917473517678
408,5,0.5,0.1,8,0.008155094382128919,447.3495780168926,0.6485500492529317
409,5,0.5,0.1,9,0.0109495205012409,447.86019791123954,0.6485646755965377
410,5,0.5,0.25,0,0.0005275959340283835,445.3659122468227,0.6454561052877525
411,5,0.5,0.25,1,0.00527763364867644,445.24880042652086,0.6458639786293286
412,5,0.5,0.25,2,0.00616547594398822,444.9890858170397,0.6433889934049936
413,5,0.5,0.25,3,0.0009866681993897924,446.0319163465886,0.6471395842396888
414,5,0.5,0.25,4,0.014518257000408916,445.4947661360224,0.6469745768163078
415,5,0.5,0.25,5,0.008291636171940836,445.46925221454006,0.645094651674562
416,5,0.5,0.25,6,0.0033995644950679804,445.24062269796383,0.645983378940147
417,5,0.5,0.25,7,0.007131631322087481,444.85712785179106,0.6456406380707014
418,5,0.5,0.25,8,0.00042330373579961555,445.7673491198961,0.6457960322505096
419,5,0.5,0.25,9,0.011234181827668915,445.08735087414897,0.6464808516861412
420,5,0.5,0.5,0,-0.00014986484234943975,446.8414988662375,0.6487244291372227
421,5,0.5,0.5,1,0.006235572960797686,446.99616728549535,0.6488437169366988
422,5,0.5,0.5,2,0.0075466522701982995,447.1956231043188,0.649914815546258
423,5,0.5,0.5,3,-0.0014620406542615455,446.6681172387409,0.650152142337949
424,5,0.5,0.5,4,0.006281356397247621,447.1031754213747,0.6491387174854284
425,5,0.5,0.5,5,-0.007454708546264256,446.3264042069206,0.6486681365572889
426,5,0.5,0.5,6,0.007210466994349495,446.4823959111438,0.6493757242870265
427,5,0.5,0.5,7,0.004740452674017163,447.4084947152831,0.6489089896103513
428,5,0.5,0.5,8,0.007478657797492368,446.48018825789126,0.6475816568560793
429,5,0.5,0.5,9,0.0005341378465694111,447.3065807700497,0.650383796523455
430,5,0.5,0.75,0,0.002673405634246164,447.38887087011113,0.6494919542066685
431,5,0.5,0.75,1,0.00627142920391624,446.8159200377168,0.6499147589601526
432,5,0.5,0.75,2,0.006534323441457189,447.0658248001733,0.6493678501543877
433,5,0.5,0.75,3,0.004354429766043662,444.9089528769502,0.6457558314600086
434,5,0.5,0.75,4,0.008797165336092455,446.58873053152865,0.6485249287564613
435,5,0.5,0.75,5,-0.003271184364888477,446.3639859871633,0.6477853254096401
436,5,0.5,0.75,6,-0.0027943971925950737,447.24646884651247,0.6497668852642439
437,5,0.5,0.75,7,0.0062891052453797934,446.34393357954076,0.6467338685516681
438,5,0.5,0.75,8,0.005832902912210784,446.1641624178549,0.6478498792300827
439,5,0.5,0.75,9,0.005198809315444489,445.58371981814275,0.647017598763273
440,5,0.75,0.1,0,-0.00679999544158906,478.3480999890227,0.6967840043086385
441,5,0.75,0.1,1,-0.0021803908766824995,478.59442482518784,0.6973611629833916
442,5,0.75,0.1,2,-0.000577687814812114,479.2244983759833,0.6988311104496493
443,5,0.75,0.1,3,-0.0018136581764272158,478.1392222413651,0.6962403189115021
444,5,0.75,0.1,4,-0.0012152618309198514,478.9261758759351,0.6979534090246649
445,5,0.75,0.1,5,-0.0010668602647538005,478.8330532906968,0.6983122714716083
446,5,0.75,0.1,6,-0.0004015590972022744,478.5980787887008,0.6967240211675477
447,5,0.75,0.1,7,-0.002798057857123402,478.12666868630095,0.6964318095965271
448,5,0.75,0.1,8,-0.0020831501629596607,478.4001889411981,0.6969924038008072
449,5,0.75,0.1,9,-7.464564505877773e-05,478.52179013883307,0.6971381705761913
450,5,0.75,0.25,0,0.0024945685831897677,475.06687586572156,0.6886836497305583
451,5,0.75,0.25,1,0.002119638434820867,474.7854679268198,0.6881436691210497
452,5,0.75,0.25,2,0.0059982347705310884,474.92936044788195,0.6887676585494217
453,5,0.75,0.25,3,0.006752777209446809,475.1534499378101,0.6893452788279815
454,5,0.75,0.25,4,0.000460087444301339,475.2893530228671,0.6885326910697637
455,5,0.75,0.25,5,0.0065266173006312544,475.5397285374582,0.6898001607471883
