,ba_m,complex_spread_ratio,repetition,run,pearson,euclidean,mape
5521,15,0.05,7,2,0.20958027070542787,336.35756671950963,0.46823769529863074
5522,15,0.05,7,3,0.026204757487027747,337.7529154180975,0.4796312658246428
5523,15,0.05,7,4,0.030960543916222962,342.6933016940459,0.4878288605782087
5524,15,0.05,7,5,0.0190977511242294,341.8719289286255,0.4859173325282263
5525,15,0.05,7,6,0.02992015182235794,344.8566210440501,0.49480706947598674
5526,15,0.05,7,7,0.025547882178287684,343.0733737677561,0.4844041739789753
5527,15,0.05,7,8,0.017175917667359385,339.9979961277457,0.4828519950785917
5528,15,0.05,7,9,0.026232750174754127,339.58416914425237,0.483831372270022
5529,15,0.05,7,10,0.018463538986647054,341.30279708840044,0.4853604541607764
5530,15,0.05,7,11,0.1928489196197132,324.2206729383866,0.4539370524452801
5531,15,0.05,7,12,0.04039327180481445,343.739074475486,0.4925838601870483
5532,15,0.05,7,13,0.007997151169033703,344.00361067502473,0.4912611867851309
5533,15,0.05,7,14,0.043120228511517096,339.58070255198345,0.48319852999801927
5534,15,0.05,7,15,0.02314104447557,343.24826306485323,0.48950497799938514
5535,15,0.05,7,16,0.03346278644087765,344.0551936926149,0.48918504693926046
5536,15,0.05,7,17,0.0288829245254153,340.09855700408053,0.4820769329786974
5537,15,0.05,7,18,0.19594486567876213,336.5192321719855,0.4780501632330843
5538,15,0.05,7,19,0.017487857311647752,340.61834629871896,0.4826809404107557
5539,15,0.05,7,20,0.02590807610220744,343.7521684914969,0.4867425917659259
5540,15,0.05,7,21,0.026538130902816603,338.71989716307263,0.48138575466803174
5541,15,0.05,7,22,0.2107048770004414,334.3316220973936,0.4709868154841849
5542,15,0.05,7,23,0.022911548746610153,338.0307756224847,0.4801748229388168
5543,15,0.05,7,24,0.0354496452913113,342.76253123141925,0.4883471964067027
5544,15,0.05,7,25,0.03782065001113229,343.0149526925934,0.4854830792831641
5545,15,0.05,7,26,0.02819730429338282,340.5656922545952,0.48339608562089253
5546,15,0.05,7,27,0.02714147492064513,341.1868305262965,0.48495752502428785
5547,15,0.05,7,28,0.029247840195375376,342.55895768291424,0.4878235363788632
5548,15,0.05,7,29,0.023115058511589497,342.99513711864546,0.4894896291354487
5549,15,0.05,8,0,0.17503304688782642,299.19752365389337,0.4102857458869689
5550,15,0.05,8,1,0.153683814344883,298.5080331915365,0.40763533100030974
5551,15,0.05,8,2,0.15267204528579245,296.9028671410513,0.40794378962933314
5552,15,0.05,8,3,0.16094326170558435,294.51152024536003,0.40444183247414456
5553,15,0.05,8,4,0.15970485407288706,296.6540466574766,0.404153619157061
5554,15,0.05,8,5,0.16507457542910808,297.1006249139385,0.4077940331750686
5555,15,0.05,8,6,0.1661400573862265,299.7385071940874,0.40966438403648925
5556,15,0.05,8,7,0.1643390957834204,295.52392391295894,0.40605251208347903
5557,15,0.05,8,8,0.16425273025720366,301.3559378281277,0.41534356243437204
5558,15,0.05,8,9,0.17177871627432936,295.4007161900951,0.4041521571247249
5559,15,0.05,8,10,0.17766789884952403,296.16947306662905,0.4045288700555363
5560,15,0.05,8,11,0.1590707288849362,307.68102683155126,0.4280766104995677
5561,15,0.05,8,12,0.13012141891000933,300.6519749768807,0.4213804100893009
5562,15,0.05,8,13,0.16564705176454872,291.5844340652506,0.3967842287489523
5563,15,0.05,8,14,0.1518068486386999,295.09652400107984,0.4071944768386211
5564,15,0.05,8,15,0.16644808129127195,296.21664116013784,0.40742229376592504
5565,15,0.05,8,16,0.1632377154526354,296.13566025604854,0.4050477523625579
5566,15,0.05,8,17,0.16906179963637136,299.0423242017537,0.4133001228206184
5567,15,0.05,8,18,0.2596967479830985,333.6044268186978,0.4630289133931949
5568,15,0.05,8,19,0.09576817967977502,369.45693380635726,0.5214863374346146
5569,15,0.05,8,20,0.16343511544168535,293.52513532563614,0.40102837579281586
5570,15,0.05,8,21,0.16404929267816493,295.4806261545634,0.4063642443059379
5571,15,0.05,8,22,0.16200296203189166,295.55751043653885,0.40404390748847935
5572,15,0.05,8,23,0.15744466186727035,293.99776855712406,0.4035118543170753
5573,15,0.05,8,24,0.16623122347883293,295.9162051706033,0.40737861454422103
5574,15,0.05,8,25,0.151138083187527,298.0002970922139,0.41122038407715006
5575,15,0.05,8,26,0.16881698869834064,296.71938664591977,0.40750657828166514
5576,15,0.05,8,27,0.17215839462022553,301.2215794521013,0.4122240330421459
5577,15,0.05,8,28,0.17433654509318017,297.5920319052138,0.40987760984019284
5578,15,0.05,8,29,0.0894052690755438,326.04237532460746,0.45351849936608435
5579,15,0.05,9,0,0.1988789259862659,344.10639985400286,0.48197729351649493
5580,15,0.05,9,1,0.1330033559950126,337.5871360780845,0.46834834131692654
5581,15,0.05,9,2,0.12621529005168391,340.5589802509116,0.4767756352890376
5582,15,0.05,9,3,0.1369331006707665,335.9072775262563,0.4667954747558678
5583,15,0.05,9,4,0.14490121978296847,337.45284895829656,0.46480131074816095
5584,15,0.05,9,5,0.138739549938556,338.77506126653293,0.4726513343266332
5585,15,0.05,9,6,0.15707113950630958,357.34341255944645,0.49716002165215506
5586,15,0.05,9,7,0.13557622895092258,340.99615694371215,0.4737778805570388
5587,15,0.05,9,8,0.22255674921224522,315.5740709181537,0.43801598865940505
5588,15,0.05,9,9,0.13569594388027664,335.7314521944859,0.4654730685644822
5589,15,0.05,9,10,0.1387433282165528,341.1700143438114,0.4712938725696032
5590,15,0.05,9,11,0.14091144767115008,338.3163323693932,0.4667589138998099
5591,15,0.05,9,12,0.128566104697005,338.4510530758508,0.4695757702365655
5592,15,0.05,9,13,0.18734490177093432,318.3399311794222,0.4476153452273173
5593,15,0.05,9,14,0.15845693134849861,337.9112976547936,0.4684394222656409
5594,15,0.05,9,15,0.14223409953972452,338.5101005974524,0.4699192760683381
5595,15,0.05,9,16,0.1400998852214235,336.67307453883694,0.46419709285563754
5596,15,0.05,9,17,0.13306581506476636,338.1962581261494,0.4688248991980933
5597,15,0.05,9,18,0.1569107491409216,335.48041595146736,0.46313737815191763
5598,15,0.05,9,19,0.1493857213779957,336.8634710647304,0.46692715596010664
5599,15,0.05,9,20,0.20642984498873265,321.02167452570757,0.4539211476367144
5600,15,0.05,9,21,0.23530971683027938,306.02012252535195,0.4277700330968118
5601,15,0.05,9,22,0.1506858086160263,334.8321099167246,0.46198413533484545
